BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,6.589462778651223e6,2.3508960750753074e6,-3.5908182883645375e6,0.0,0.0,0.0,2.442646590775582e-7,0.0,0.0,-5.34954056538688e6
t1,53.60353890456487,21.03096516148835,-33.66613231605506,0.0,0.0,0.0,0.0,0.0,0.0,-40.96837175
t2,53.60353889615398,21.329357209763497,-34.19073581591481,0.0,0.0,0.0,0.0,0.0,0.0,-40.74216029
t3,53.60353889582867,22.03367156349924,-35.126549709323264,0.0,0.0,0.0,0.0,0.0,0.0,-40.51066075
t4,53.60353889638285,22.245795705247154,-35.54461439161641,0.0,0.0,0.0,0.0,0.0,0.0,-40.30472021
t5,53.603538905140155,22.448644674836345,-35.884219300000375,0.0,0.0,0.0,0.0,0.0,0.0,-40.16796428
t6,53.60353889672064,23.098657550844305,-36.708885887550615,0.0,0.0,0.0,0.0,0.0,0.0,-39.99331056
t7,53.6035388960679,23.32088747066662,-37.09915945675024,0.0,0.0,0.0,0.0,0.0,0.0,-39.82526691
t8,53.603538896523375,23.53376279870511,-37.43662889521787,0.0,0.0,0.0,0.0,0.0,0.0,-39.7006728
t9,53.603538905402246,23.705647190152764,-37.703141745551946,0.0,0.0,0.0,0.0,0.0,0.0,-39.60604435
t10,53.60353889665277,23.81925575643346,-37.94795449307359,0.0,0.0,0.0,0.0,0.0,0.0,-39.47484016
t11,53.603538896494406,24.352063154017788,-38.54488894052478,0.0,0.0,0.0,0.0,0.0,0.0,-39.41071311
t12,53.603538897054904,24.449819705674116,-38.76097518273184,0.0,0.0,0.0,0.0,0.0,0.0,-39.29238342
t13,53.60353890618855,24.544459584729815,-38.985402260919514,0.0,0.0,0.0,0.0,0.0,0.0,-39.16259623
t14,53.60353889748136,24.749712422566766,-39.24207249004975,0.0,0.0,0.0,0.0,0.0,0.0,-39.11117883
t15,53.603538897036536,24.840988697709708,-39.43412141474158,0.0,0.0,0.0,0.0,0.0,0.0,-39.01040618
t16,53.60353889802399,25.309416462635614,-39.88918780068623,0.0,0.0,0.0,0.0,0.0,0.0,-39.02376756
t17,53.60353890698905,25.312203176036075,-39.87978284301471,0.0,0.0,0.0,0.0,0.0,0.0,-39.03595924
t18,53.60353889807568,25.293545064744073,-39.88110208281403,0.0,0.0,0.0,0.0,0.0,0.0,-39.01598188
t19,53.60353889739647,25.27378321986252,-39.88175826726305,0.0,0.0,0.0,0.0,0.0,0.0,-38.99556385
t20,53.603538897513324,25.22314815550331,-39.91615741301008,0.0,0.0,0.0,0.0,0.0,0.0,-38.91052964
t21,53.60353890636939,25.576870056956743,-40.314371703314606,0.0,0.0,0.0,0.0,0.0,0.0,-38.86603726
t22,53.603538896605144,25.559183097201416,-40.38921036381441,0.0,0.0,0.0,0.0,0.0,0.0,-38.77351163
t23,53.603538894267196,25.56447134239873,-40.41239828666347,0.0,0.0,0.0,2.703649725402032e-12,0.0,0.0,-38.75561195
t24,53.603538893674056,25.549837879789486,-40.41213912347492,0.0,0.0,0.0,2.704238750536876e-12,0.0,0.0,-38.74123765
t25,53.60353889656392,25.483554604090518,-40.3055868306598,0.0,0.0,0.0,2.798287782916543e-12,0.0,0.0,-38.78150667
t26,53.603538892660104,25.749617765267708,-40.56247697792355,0.0,0.0,0.0,2.6977145548006203e-12,0.0,0.0,-38.79067968
