Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,geothermal
Zone,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,2510.5365523773216,0.9353284851653736,162.95539186295056,37.53449117367158,0.0
t2,0.0,0.0,0.0,0.0,2510.3424251950582,0.9475615385160204,163.28977872652385,37.92397496428926,0.0
t3,0.0,0.0,0.0,0.0,2510.1409013101643,0.9595984735604478,163.60556265558316,38.198063936167785,0.0
t4,0.0,0.0,0.0,0.0,2509.931221471022,0.9713461452385213,163.9239593455315,38.53942904384801,0.0
t5,0.0,0.0,0.0,0.0,2509.7173934704115,0.9827706435740413,164.24518046927508,38.89674185743139,0.0
t6,0.0,0.0,0.0,0.0,2509.4895979930366,0.994461427813902,164.5636123866872,39.1034656869104,0.0
t7,0.0,0.0,0.0,0.0,2509.254656122252,1.0061030879633885,164.8834785198929,39.34341654874129,0.0
t8,0.0,0.0,0.0,0.0,2509.011673305053,1.0176671194637983,165.20440757741352,39.58639202566205,0.0
t9,0.0,0.0,0.0,0.0,2508.764698994355,1.0291076988343528,165.52642603383228,39.82688234166709,0.0
t10,0.0,0.0,0.0,0.0,2508.5036802727495,1.0403764193455367,165.84910599084913,40.120786374806194,0.0
t11,0.0,0.0,0.0,0.0,2508.2355921794433,1.052109395881196,166.16702330935448,40.22996643970625,0.0
t12,0.0,0.0,0.0,0.0,2507.959571527742,1.0638613111229793,166.48462066063396,40.39008157689199,0.0
t13,0.0,0.0,0.0,0.0,2507.6796571489717,1.0755877045238975,166.80150078805423,40.61208439494186,0.0
t14,0.0,0.0,0.0,0.0,2507.3890218202546,1.087046330953236,167.1372198912051,40.76670846748206,0.0
t15,0.0,0.0,0.0,0.0,2507.094504271912,1.0982139232428891,167.4717059019992,40.96220166286077,0.0
t16,0.0,0.0,0.0,0.0,2506.7953934597463,1.1096688575297917,167.8012481910123,40.940262279402134,0.0
t17,0.0,0.0,0.0,0.0,2506.4954838894027,1.1208898886035652,168.1301182624023,40.9081034700511,0.0
t18,0.0,0.0,0.0,0.0,2506.184983476945,1.1318099947988975,168.4554097762547,40.903696153538846,0.0
t19,0.0,0.0,0.0,0.0,2505.8706982387457,1.1424749869365574,168.77884277878405,40.92635402601232,0.0
t20,0.0,0.0,0.0,0.0,2505.5519871508695,1.152883914555238,169.10149940792755,41.040722818969485,0.0
t21,0.0,0.0,0.0,0.0,2505.2325378440096,1.163443396969792,169.4198823530975,41.0350959916057,0.0
t22,0.0,0.0,0.0,0.0,2504.902158333615,1.1736634585668273,169.73904904546956,41.11106242475381,0.0
t23,0.0,0.0,0.0,0.0,2504.568028595466,1.1836497801087207,170.056488417546,41.20067416289229,0.0
t24,0.0,0.0,0.0,0.0,2504.2295024850014,1.193516321981562,170.37168985821685,41.31042058751491,0.0
t25,0.0,0.0,0.0,0.0,2503.891447919544,1.2034257965392205,170.6849152024256,41.419460289689496,0.0
t26,0.0,0.0,0.0,0.0,2503.5474395642304,1.213392631517512,171.00306021188237,41.397105305139185,0.0
t27,0.0,0.0,0.0,0.0,2503.2056221397906,1.2233084384196766,171.31842717756163,41.44509681059534,0.0
t28,0.0,0.0,0.0,0.0,2502.86565155745,1.2334091367215,171.63315048490472,41.29631111110009,0.0
t29,0.0,0.0,0.0,0.0,2502.533401651443,1.2436272155039683,171.94487886742337,41.25830224349184,0.0
t30,0.0,0.0,0.0,0.0,2502.1943631668114,1.2538435190745838,172.25389665144175,41.322846392271344,0.0
t31,0.0,0.0,0.0,0.0,2501.8571073974354,1.2648016604624892,172.56832683671053,41.28846877931013,0.0
t32,0.0,0.0,0.0,0.0,2501.5216879533905,1.275863825882471,172.87976209643605,41.28790990041496,0.0
t33,0.0,0.0,0.0,0.0,2501.194881611863,1.2871296815965505,173.1863514227041,41.27950660216323,0.0
t34,0.0,0.0,0.0,0.0,2500.8602518470398,1.2982415631506414,173.49661579933007,41.24137671113355,0.0
t35,0.0,0.0,0.0,0.0,2500.527426345338,1.3093765987515908,173.8066114526383,41.23965247427821,0.0
t36,0.0,0.0,0.0,0.0,2500.1961884010284,1.3209219115755833,174.11655171039178,41.13208408869093,0.0
t37,0.0,0.0,0.0,0.0,2499.874366573321,1.3326164510796383,174.45040980167138,41.045442654764635,0.0
t38,0.0,0.0,0.0,0.0,2499.5461972019634,1.3440251571552213,174.75936430987244,41.006996566636566,0.0
t39,0.0,0.0,0.0,0.0,2499.2221727258066,1.3553989344553645,175.067531425844,40.98843493783917,0.0
t40,0.0,0.0,0.0,0.0,2498.9023562486564,1.3667372133518718,175.3757418366056,40.97051704302991,0.0
t41,0.0,0.0,0.0,0.0,2498.5946338153312,1.3785644305205482,175.6742029405133,40.89416392273642,0.0
t42,0.0,0.0,0.0,0.0,2498.2799555858423,1.3901267072584707,175.98267127995595,40.89055923304165,0.0
t43,0.0,0.0,0.0,0.0,2497.9692867659655,1.4015566172842044,176.28770562612948,40.86582287198867,0.0
t44,0.0,0.0,0.0,0.0,2497.6627063917513,1.4129229105165233,176.59040370378477,40.847798726203195,0.0
t45,0.0,0.0,0.0,0.0,2497.368968576177,1.4245021895737238,176.88289258181462,40.8404374691222,0.0
t46,0.0,0.0,0.0,0.0,2497.0669334510358,1.436164735376366,177.18638300910084,40.73921071617159,0.0
t47,0.0,0.0,0.0,0.0,2496.7686338545464,1.4477518050850091,177.4857676893989,40.64199557854383,0.0
t48,0.0,0.0,0.0,0.0,2496.474293270561,1.459291596485742,177.78184859480976,40.557953797009674,0.0
t49,0.0,0.0,0.0,0.0,2496.1931217729125,1.470915863461905,178.0686891798257,40.46420120546985,0.0
t50,0.0,0.0,0.0,0.0,2495.9154666456775,1.4821876359471498,178.35878585025102,40.3938909969463,0.0
t51,0.0,0.0,0.0,0.0,2495.653516756299,1.4937578303027055,178.65222272035982,40.16759159928465,0.0
t52,0.0,0.0,0.0,0.0,2495.407650923078,1.5051856830949752,178.9431991408705,40.00644907839367,0.0
t53,0.0,0.0,0.0,0.0,2495.187719075718,1.5166584347902539,179.23292740788816,39.812853923840905,0.0
t54,0.0,0.0,0.0,0.0,2494.9706008769813,1.5274507040892913,179.52086294501413,39.718885544889986,0.0
t55,0.0,0.0,0.0,0.0,2494.7693093746398,1.5379172574507203,179.80716726913494,39.61904941551038,0.0
t56,0.0,0.0,0.0,0.0,2494.5837588999866,1.5486211422573046,180.10050128809732,39.34826216894001,0.0
t57,0.0,0.0,0.0,0.0,2494.4242010470193,1.5589527848837033,180.42074442406133,39.1169049827277,0.0
t58,0.0,0.0,0.0,0.0,2494.2670839613775,1.5692101572895716,180.71152469002215,38.96899284453498,0.0
t59,0.0,0.0,0.0,0.0,2494.125704744164,1.5791344850474243,181.00029948233052,38.815354785167955,0.0
t60,0.0,0.0,0.0,0.0,2494.0001724971553,1.5888450277175037,181.28643053113757,38.705645237180455,0.0
t61,0.0,0.0,0.0,0.0,2493.9003960616205,1.5982914538547142,181.57844629876942,38.19548037806828,0.0
t62,0.0,0.0,0.0,0.0,2493.817629718207,1.6082514993297723,181.8642213608656,37.69947990437704,0.0
t63,0.0,0.0,0.0,0.0,2493.7655549211213,1.6178408732837828,182.14518689314878,38.06906429730371,0.0
t64,0.0,0.0,0.0,0.0,2493.743660650135,1.6271211964864538,182.42491290526667,38.262592780633774,0.0
t65,0.0,0.0,0.0,0.0,2493.768880862796,1.6360403428239723,182.70472847090758,38.462304364189585,0.0
t66,0.0,0.0,0.0,0.0,2493.805281578835,1.6454861853984122,182.97817291092122,38.34170560403027,0.0
t67,0.0,0.0,0.0,0.0,2493.872612828653,1.6548591331375169,183.25134236147136,38.26064406524769,0.0
