Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,geothermal
Zone,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,0.3321290673382609,0.33212573689559,0.44444445521528775,0.0
t2,0.0,0.0,0.0,0.0,0.0,0.3321291052916528,0.3321257368855987,0.44444445537208216,0.0
t3,0.0,0.0,0.0,0.0,0.0,0.3321291421041324,0.33212573688145125,0.4444444555966997,0.0
t4,0.0,0.0,0.0,0.0,0.0,0.33212917788053187,0.3321257368786359,0.4444444557751419,0.0
t5,0.0,0.0,0.0,0.0,0.0,0.33212921254622163,0.33212573687758673,0.44444445584820574,0.0
t6,0.0,0.0,0.0,0.0,0.0,0.33212930224066134,0.33212573705966575,0.44444445690015744,0.0
t7,0.0,0.0,0.0,0.0,0.0,0.3321293354368001,0.3321257370613188,0.4444444571099178,0.0
t8,0.0,0.0,0.0,0.0,0.0,0.33212936794529213,0.33212573706387133,0.4444444572673078,0.0
t9,0.0,0.0,0.0,0.0,0.0,0.3321293996723379,0.3321257370675251,0.4444444573497884,0.0
t10,0.0,0.0,0.0,0.0,0.0,0.33212943054184085,0.33212573707266607,0.44444445733011084,0.0
t11,0.0,0.0,0.0,0.0,0.0,0.3321295135004742,0.33212573726098793,0.444444458255125,0.0
t12,0.0,0.0,0.0,0.0,0.0,0.3321295431332601,0.3321257372672993,0.44444445835795127,0.0
t13,0.0,0.0,0.0,0.0,0.0,0.33212957215131556,0.33212573727405603,0.44444445842809516,0.0
t14,0.0,0.0,0.0,0.0,0.0,0.33212960042038403,0.3321257372822027,0.44444445848485176,0.0
t15,0.0,0.0,0.0,0.0,0.0,0.33212962776309013,0.33212573729350875,0.4444444583618942,0.0
t16,0.0,0.0,0.0,0.0,0.0,0.3321297043316375,0.3321257374906799,0.44444445914707587,0.0
t17,0.0,0.0,0.0,0.0,0.0,0.33212973027335085,0.3321257375101571,0.44444445907753355,0.0
t18,0.0,0.0,0.0,0.0,0.0,0.3321297554752345,0.3321257375081431,0.44444445898405266,0.0
t19,0.0,0.0,0.0,0.0,0.0,0.3321297798757507,0.3321257375088852,0.44444445884806827,0.0
t20,0.0,0.0,0.0,0.0,0.0,0.3321298034085449,0.3321257375116938,0.44444445863211396,0.0
t21,0.0,0.0,0.0,0.0,0.0,0.3321298736800019,0.33212573769847653,0.44444445941323596,0.0
t22,0.0,0.0,0.0,0.0,0.0,0.33212989580269675,0.3321257377021454,0.444444459362981,0.0
t23,0.0,0.0,0.0,0.0,0.0,0.3321299172911333,0.3321257377185119,0.4444444592745744,0.0
t24,0.0,0.0,0.0,0.0,0.0,0.33212993832678517,0.3321257377337676,0.4444444590985118,0.0
t25,0.0,0.0,0.0,0.0,0.0,0.3321299576153155,0.3321257377466574,0.4444444587753531,0.0
t26,0.0,0.0,0.0,0.0,0.0,0.33213002229576594,0.3321257379530383,0.4444444594078819,0.0
t27,0.0,0.0,0.0,0.0,0.0,0.33213004164180754,0.33212573796249306,0.44444445920669323,0.0
t28,0.0,0.0,0.0,0.0,0.0,0.3321300609345516,0.3321257379706607,0.44444445881286165,0.0
t29,0.0,0.0,0.0,0.0,0.0,0.3321300784206694,0.3321257379767042,0.4444444584806825,0.0
