Time_Index,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,geothermal
1,0.633262338,0.0,0.0,0.0,0.19410201,1.0,1.0,1.0,1.0
2,0.63594264,0.0,0.0,0.0,0.192736769,1.0,1.0,1.0,1.0
3,0.638622941,0.0,0.0,0.0,0.191371529,1.0,1.0,1.0,1.0
4,0.641303243,0.0,0.0,0.0,0.190006288,1.0,1.0,1.0,1.0
5,0.643983544,0.0,0.0,0.0,0.188641047,1.0,1.0,1.0,1.0
6,0.646663846,0.0,0.0,0.0,0.187275806,1.0,1.0,1.0,1.0
7,0.649344147,0.0,0.0,0.0,0.185910565,1.0,1.0,1.0,1.0
8,0.652024449,0.0,0.0,0.0,0.184545324,1.0,1.0,1.0,1.0
9,0.65470475,0.0,0.0,0.0,0.183180084,1.0,1.0,1.0,1.0
10,0.657385051,0.0,0.0,0.0,0.181814843,1.0,1.0,1.0,1.0
11,0.660065353,0.0,0.0,0.0,0.180449602,1.0,1.0,1.0,1.0
12,0.662745655,0.0,0.0,0.0,0.179084361,1.0,1.0,1.0,1.0
13,0.665425956,0.0,0.0,0.0,0.17771912,1.0,1.0,1.0,1.0
14,0.621015433,0.0,0.0,0.0,0.176878458,1.0,1.0,1.0,1.0
15,0.57660491,0.0,0.0,0.0,0.176037796,1.0,1.0,1.0,1.0
16,0.532194387,0.0,0.0,0.0,0.175197134,1.0,1.0,1.0,1.0
17,0.487783865,0.0,0.0,0.0,0.174356471,1.0,1.0,1.0,1.0
18,0.443373342,0.0,0.0,0.0,0.173515809,1.0,1.0,1.0,1.0
19,0.398962819,0.0,0.0,0.0,0.172675147,1.0,1.0,1.0,1.0
20,0.354552296,0.0,0.0,0.0,0.171834484,1.0,1.0,1.0,1.0
21,0.310141773,0.0,0.0,0.0,0.170993822,1.0,1.0,1.0,1.0
22,0.26573125,0.0,0.0,0.0,0.17015316,1.0,1.0,1.0,1.0
23,0.221320728,0.0,0.0,0.0,0.169312498,1.0,1.0,1.0,1.0
24,0.176910205,0.0,0.0,0.0,0.168471835,1.0,1.0,1.0,1.0
25,0.132499682,0.0,0.0,0.0,0.167631173,1.0,1.0,1.0,1.0
26,0.124669247,0.0,0.0,0.0,0.167833404,1.0,1.0,1.0,1.0
27,0.116838812,0.0,0.0,0.0,0.168035636,1.0,1.0,1.0,1.0
28,0.109008377,0.0,0.0,0.0,0.168237867,1.0,1.0,1.0,1.0
29,0.101177942,0.0,0.0,0.0,0.168440098,1.0,1.0,1.0,1.0
30,0.093347507,0.0,0.0,0.0,0.168642329,1.0,1.0,1.0,1.0
31,0.085517072,0.0,0.0,0.0,0.168844561,1.0,1.0,1.0,1.0
32,0.077686636,0.0,0.0,0.0,0.169046791,1.0,1.0,1.0,1.0
33,0.069856201,0.0,0.0,0.0,0.169249022,1.0,1.0,1.0,1.0
34,0.062025766,0.0,0.0,0.0,0.169451254,1.0,1.0,1.0,1.0
35,0.054195331,0.0,0.0,0.0,0.169653484,1.0,1.0,1.0,1.0
36,0.046364896,0.0,0.0,0.0,0.169855716,1.0,1.0,1.0,1.0
37,0.038534461,0.0,0.0,0.0,0.170057947,1.0,1.0,1.0,1.0
38,0.03926503,0.0,0.0,0.0,0.170677821,1.0,1.0,1.0,1.0
39,0.039995598,0.0,0.0,0.0,0.171297694,1.0,1.0,1.0,1.0
40,0.040726167,0.0,0.0,0.0,0.171917568,1.0,1.0,1.0,1.0
41,0.041456735,0.0,0.0,0.0,0.172537442,1.0,1.0,1.0,1.0
42,0.042187304,0.0,0.0,0.0,0.173157316,1.0,1.0,1.0,1.0
43,0.042917872,0.0,0.0,0.0,0.17377719,1.0,1.0,1.0,1.0
44,0.04364844,0.0,0.0,0.0,0.174397063,1.0,1.0,1.0,1.0
45,0.044379009,0.0,0.0,0.0,0.175016937,1.0,1.0,1.0,1.0
46,0.045109578,0.0,0.0,0.0,0.175636811,1.0,1.0,1.0,1.0
47,0.045840146,0.0,0.0,0.0,0.176256685,1.0,1.0,1.0,1.0
48,0.046570715,0.0,0.0,0.0,0.176876558,1.0,1.0,1.0,1.0
49,0.047301283,0.0,0.0,0.0,0.177496432,1.0,1.0,1.0,1.0
50,0.061451351,0.0,0.0,0.0,0.180193391,1.0,1.0,1.0,1.0
51,0.075601418,0.0,0.0,0.0,0.182890349,1.0,1.0,1.0,1.0
52,0.089751486,0.0,0.0,0.0,0.185587307,1.0,1.0,1.0,1.0
53,0.103901553,0.0,0.0,0.0,0.188284266,1.0,1.0,1.0,1.0
54,0.118051621,0.0,0.0,0.0,0.190981224,1.0,1.0,1.0,1.0
55,0.132201689,0.0,0.0,0.0,0.193678182,1.0,1.0,1.0,1.0
56,0.146351756,0.0,0.0,0.0,0.196375141,1.0,1.0,1.0,1.0
57,0.160501824,0.0,0.0,0.0,0.199072099,1.0,1.0,1.0,1.0
58,0.174651891,0.0,0.0,0.0,0.201769058,1.0,1.0,1.0,1.0
59,0.188801959,0.0,0.0,0.0,0.204466016,1.0,1.0,1.0,1.0
60,0.202952026,0.0,0.0,0.0,0.207162974,1.0,1.0,1.0,1.0
61,0.217102094,0.0,0.0,0.0,0.209859933,1.0,1.0,1.0,1.0
62,0.236501766,0.0,0.0,0.0,0.215269367,1.0,1.0,1.0,1.0
63,0.255901438,0.0,0.0,0.0,0.2206788,1.0,1.0,1.0,1.0
64,0.27530111,0.0,0.0,0.0,0.226088235,1.0,1.0,1.0,1.0
65,0.294700782,0.0,0.0,0.0,0.231497668,1.0,1.0,1.0,1.0
66,0.314100454,0.0,0.0,0.0,0.236907102,1.0,1.0,1.0,1.0
67,0.333500126,0.0,0.0,0.0,0.242316535,1.0,1.0,1.0,1.0
68,0.352899798,0.0,0.0,0.0,0.24772597,1.0,1.0,1.0,1.0
69,0.37229947,0.0,0.0,0.0,0.253135403,1.0,1.0,1.0,1.0
70,0.391699142,0.0,0.0,0.0,0.258544837,1.0,1.0,1.0,1.0
71,0.411098814,0.0,0.0,0.0,0.263954271,1.0,1.0,1.0,1.0
72,0.430498486,0.0,0.0,0.0,0.269363705,1.0,1.0,1.0,1.0
73,0.449898158,0.0,0.0,0.0,0.274773138,1.0,1.0,1.0,1.0
74,0.446959918,0.0,0.0,0.0,0.276298683,1.0,1.0,1.0,1.0
75,0.444021677,0.0,0.0,0.0,0.277824227,1.0,1.0,1.0,1.0
76,0.441083437,0.0,0.0,0.0,0.279349772,1.0,1.0,1.0,1.0
77,0.438145196,0.0,0.0,0.0,0.280875316,1.0,1.0,1.0,1.0
78,0.435206956,0.0,0.0,0.0,0.28240086,1.0,1.0,1.0,1.0
79,0.432268716,0.0,0.0,0.0,0.283926405,1.0,1.0,1.0,1.0
80,0.429330475,0.000562982,0.000560609,0.000560609,0.285451949,1.0,1.0,1.0,1.0
81,0.426392235,0.001125965,0.001121218,0.001121218,0.286977493,1.0,1.0,1.0,1.0
82,0.423453994,0.001688947,0.001681827,0.001681827,0.288503038,1.0,1.0,1.0,1.0
83,0.420515754,0.002251929,0.002242436,0.002242436,0.290028582,1.0,1.0,1.0,1.0
84,0.417577513,0.002814912,0.002803045,0.002803045,0.291554126,1.0,1.0,1.0,1.0
85,0.414639273,0.003377894,0.003363654,0.003363654,0.293079671,1.0,1.0,1.0,1.0
86,0.39624671,0.014277418,0.022104644,0.022104644,0.287392758,1.0,1.0,1.0,1.0
87,0.377854147,0.025176942,0.040845633,0.040845633,0.281705846,1.0,1.0,1.0,1.0
88,0.359461584,0.036076465,0.059586622,0.059586622,0.276018932,1.0,1.0,1.0,1.0
89,0.34106902,0.046975989,0.078327612,0.078327612,0.27033202,1.0,1.0,1.0,1.0
90,0.322676457,0.057875513,0.097068601,0.097068601,0.264645107,1.0,1.0,1.0,1.0
91,0.304283894,0.068775037,0.11580959,0.11580959,0.258958195,1.0,1.0,1.0,1.0
92,0.285891331,0.082750017,0.13499825,0.13499825,0.253271281,1.0,1.0,1.0,1.0
93,0.267498768,0.096724997,0.15418691,0.15418691,0.247584368,1.0,1.0,1.0,1.0
94,0.249106205,0.110699977,0.17337557,0.17337557,0.241897456,1.0,1.0,1.0,1.0
95,0.230713641,0.124674957,0.192564229,0.192564229,0.236210542,1.0,1.0,1.0,1.0
96,0.212321078,0.138649937,0.211752889,0.211752889,0.23052363,1.0,1.0,1.0,1.0
97,0.193928515,0.152624917,0.230941549,0.230941549,0.224836717,1.0,1.0,1.0,1.0
98,0.18307543,0.160077859,0.216844243,0.216844243,0.219786917,1.0,1.0,1.0,1.0
99,0.172222344,0.1675308,0.202746936,0.202746936,0.214737116,1.0,1.0,1.0,1.0
100,0.161369259,0.174983742,0.18864963,0.18864963,0.209687315,1.0,1.0,1.0,1.0
101,0.150516173,0.182436684,0.174552324,0.174552324,0.204637515,1.0,1.0,1.0,1.0
102,0.139663088,0.189889625,0.160455017,0.160455017,0.199587714,1.0,1.0,1.0,1.0
103,0.128810003,0.197342567,0.146357711,0.146357711,0.194537914,1.0,1.0,1.0,1.0
104,0.117956917,0.222495591,0.152758276,0.152758276,0.189488113,1.0,1.0,1.0,1.0
105,0.107103832,0.247648614,0.159158841,0.159158841,0.184438312,1.0,1.0,1.0,1.0
106,0.0963,0.272801638,0.165559407,0.165559407,0.179388512,1.0,1.0,1.0,1.0
107,0.085397661,0.297954662,0.171959972,0.171959972,0.174338711,1.0,1.0,1.0,1.0
108,0.074544575,0.323107685,0.178360537,0.178360537,0.16928891,1.0,1.0,1.0,1.0
109,0.06369149,0.348260709,0.184761103,0.184761103,0.16423911,1.0,1.0,1.0,1.0
110,0.065401871,0.355063475,0.212199197,0.212199197,0.16216358,1.0,1.0,1.0,1.0
111,0.067112252,0.361866241,0.239637291,0.239637291,0.16008805,1.0,1.0,1.0,1.0
112,0.068822633,0.368669008,0.267075386,0.267075386,0.15801252,1.0,1.0,1.0,1.0
113,0.070533014,0.375471774,0.29451348,0.29451348,0.155936989,1.0,1.0,1.0,1.0
114,0.072243395,0.38227454,0.321951574,0.321951574,0.15386146,1.0,1.0,1.0,1.0
115,0.073953776,0.389077306,0.349389668,0.349389668,0.15178593,1.0,1.0,1.0,1.0
116,0.075664156,0.391397667,0.362767655,0.362767655,0.149710399,1.0,1.0,1.0,1.0
117,0.077374537,0.393718028,0.376145641,0.376145641,0.14763487,1.0,1.0,1.0,1.0
118,0.079084918,0.396038389,0.389523628,0.389523628,0.145559339,1.0,1.0,1.0,1.0
119,0.080795299,0.39835875,0.402901614,0.402901614,0.143483809,1.0,1.0,1.0,1.0
120,0.08250568,0.400679111,0.4162796,0.4162796,0.141408279,1.0,1.0,1.0,1.0
121,0.084216061,0.402999472,0.429657587,0.429657587,0.139332749,1.0,1.0,1.0,1.0
122,0.080753593,0.407115625,0.430256648,0.430256648,0.138687332,1.0,1.0,1.0,1.0
123,0.077291125,0.411231777,0.43085571,0.43085571,0.138041915,1.0,1.0,1.0,1.0
124,0.073828656,0.41534793,0.431454771,0.431454771,0.137396498,1.0,1.0,1.0,1.0
125,0.070366188,0.419464083,0.432053833,0.432053833,0.136751081,1.0,1.0,1.0,1.0
126,0.06690372,0.423580235,0.432652894,0.432652894,0.136105664,1.0,1.0,1.0,1.0
127,0.063441252,0.427696388,0.433251956,0.433251956,0.135460247,1.0,1.0,1.0,1.0
128,0.059978784,0.44626117,0.435046956,0.435046956,0.13481483,1.0,1.0,1.0,1.0
129,0.056516316,0.464825952,0.436841956,0.436841956,0.134169413,1.0,1.0,1.0,1.0
130,0.053053848,0.483390734,0.438636956,0.438636956,0.133523995,1.0,1.0,1.0,1.0
131,0.049591379,0.501955515,0.440431956,0.440431956,0.132878579,1.0,1.0,1.0,1.0
132,0.046128911,0.520520297,0.442226956,0.442226956,0.132233162,1.0,1.0,1.0,1.0
133,0.042666443,0.539085079,0.444021957,0.444021957,0.131587744,1.0,1.0,1.0,1.0
134,0.043808892,0.535792602,0.446763511,0.446763511,0.131392448,1.0,1.0,1.0,1.0
135,0.044951342,0.532500126,0.449505065,0.449505065,0.131197151,1.0,1.0,1.0,1.0
136,0.046093791,0.529207649,0.45224662,0.45224662,0.131001854,1.0,1.0,1.0,1.0
137,0.04723624,0.525915172,0.454988175,0.454988175,0.130806558,1.0,1.0,1.0,1.0
138,0.048378689,0.522622696,0.457729729,0.457729729,0.13061126,1.0,1.0,1.0,1.0
139,0.049521139,0.519330219,0.460471283,0.460471283,0.130415964,1.0,1.0,1.0,1.0
140,0.050663588,0.520425487,0.474178033,0.474178033,0.130220667,1.0,1.0,1.0,1.0
141,0.051806037,0.521520756,0.487884783,0.487884783,0.13002537,1.0,1.0,1.0,1.0
142,0.052948486,0.522616024,0.501591533,0.501591533,0.129830074,1.0,1.0,1.0,1.0
143,0.054090936,0.523711292,0.515298283,0.515298283,0.129634777,1.0,1.0,1.0,1.0
144,0.055233385,0.524806561,0.529005033,0.529005033,0.12943948,1.0,1.0,1.0,1.0
145,0.056375834,0.525901829,0.542711783,0.542711783,0.129244183,1.0,1.0,1.0,1.0
146,0.067080087,0.531735,0.543402446,0.543402446,0.129384704,1.0,1.0,1.0,1.0
147,0.07778434,0.53756817,0.54409311,0.54409311,0.129525225,1.0,1.0,1.0,1.0
148,0.088488593,0.543401341,0.544783773,0.544783773,0.129665746,1.0,1.0,1.0,1.0
149,0.099192845,0.549234511,0.545474437,0.545474437,0.129806267,1.0,1.0,1.0,1.0
150,0.109897098,0.555067682,0.5461651,0.5461651,0.129946788,1.0,1.0,1.0,1.0
151,0.120601351,0.560900852,0.546855764,0.546855764,0.130087309,1.0,1.0,1.0,1.0
152,0.131305604,0.561938319,0.539754027,0.539754027,0.13022783,1.0,1.0,1.0,1.0
153,0.142009857,0.562975785,0.53265229,0.53265229,0.13036835,1.0,1.0,1.0,1.0
154,0.15271411,0.564013252,0.525550553,0.525550553,0.130508872,1.0,1.0,1.0,1.0
155,0.163418362,0.565050718,0.518448816,0.518448816,0.130649393,1.0,1.0,1.0,1.0
156,0.174122615,0.566088185,0.51134708,0.51134708,0.130789914,1.0,1.0,1.0,1.0
157,0.184826868,0.567125651,0.504245343,0.504245343,0.130930434,1.0,1.0,1.0,1.0
158,0.192175337,0.566835809,0.499623321,0.499623321,0.131312643,1.0,1.0,1.0,1.0
159,0.199523805,0.566545966,0.495001299,0.495001299,0.131694852,1.0,1.0,1.0,1.0
160,0.206872274,0.566256124,0.490379277,0.490379277,0.13207706,1.0,1.0,1.0,1.0
161,0.214220743,0.565966282,0.485757255,0.485757255,0.13245927,1.0,1.0,1.0,1.0
162,0.221569211,0.565676439,0.481135233,0.481135233,0.132841479,1.0,1.0,1.0,1.0
163,0.22891768,0.565386597,0.476513211,0.476513211,0.133223688,1.0,1.0,1.0,1.0
164,0.236266149,0.561186801,0.477676896,0.477676896,0.133605896,1.0,1.0,1.0,1.0
165,0.243614617,0.556987004,0.478840581,0.478840581,0.133988105,1.0,1.0,1.0,1.0
166,0.250963086,0.552787208,0.480004266,0.480004266,0.134370314,1.0,1.0,1.0,1.0
167,0.258311555,0.548587411,0.481167952,0.481167952,0.134752523,1.0,1.0,1.0,1.0
168,0.265660023,0.544387615,0.482331636,0.482331636,0.135134731,1.0,1.0,1.0,1.0
169,0.273008492,0.540187818,0.483495322,0.483495322,0.13551694,1.0,1.0,1.0,1.0
170,0.287781798,0.550093546,0.464291567,0.464291567,0.137554401,1.0,1.0,1.0,1.0
171,0.302555104,0.559999275,0.445087812,0.445087812,0.139591863,1.0,1.0,1.0,1.0
172,0.317328411,0.569905003,0.425884057,0.425884057,0.141629324,1.0,1.0,1.0,1.0
173,0.332101717,0.579810731,0.406680302,0.406680302,0.143666786,1.0,1.0,1.0,1.0
174,0.346875023,0.58971646,0.387476548,0.387476548,0.145704247,1.0,1.0,1.0,1.0
175,0.361648329,0.599622188,0.368272793,0.368272793,0.147741709,1.0,1.0,1.0,1.0
176,0.376421635,0.600744349,0.359163926,0.359163926,0.14977917,1.0,1.0,1.0,1.0
177,0.391194941,0.60186651,0.350055059,0.350055059,0.151816632,1.0,1.0,1.0,1.0
178,0.406,0.602988671,0.340946192,0.340946192,0.153854093,1.0,1.0,1.0,1.0
179,0.421,0.604110831,0.331837325,0.331837325,0.155891555,1.0,1.0,1.0,1.0
180,0.43551486,0.605232992,0.322728458,0.322728458,0.157929017,1.0,1.0,1.0,1.0
181,0.450288166,0.606355153,0.313619591,0.313619591,0.159966478,1.0,1.0,1.0,1.0
182,0.447691984,0.615848001,0.324482258,0.324482258,0.169543994,1.0,1.0,1.0,1.0
183,0.445095802,0.625340849,0.335344925,0.335344925,0.17912151,1.0,1.0,1.0,1.0
184,0.44249962,0.634833698,0.346207592,0.346207592,0.188699026,1.0,1.0,1.0,1.0
185,0.439903438,0.644326546,0.357070259,0.357070259,0.198276542,1.0,1.0,1.0,1.0
186,0.437307256,0.653819394,0.367932926,0.367932926,0.207854059,1.0,1.0,1.0,1.0
187,0.434711075,0.663312242,0.378795594,0.378795594,0.217431576,1.0,1.0,1.0,1.0
188,0.432114893,0.649113808,0.359518418,0.359518418,0.227009092,1.0,1.0,1.0,1.0
189,0.429518711,0.634915374,0.340241242,0.340241242,0.236586608,1.0,1.0,1.0,1.0
190,0.426922529,0.620716941,0.320964066,0.320964066,0.246164124,1.0,1.0,1.0,1.0
191,0.424326347,0.606518507,0.30168689,0.30168689,0.25574164,1.0,1.0,1.0,1.0
192,0.421730165,0.592320073,0.282409714,0.282409714,0.265319156,1.0,1.0,1.0,1.0
193,0.419133983,0.578121639,0.263132539,0.263132539,0.274896673,1.0,1.0,1.0,1.0
194,0.421946163,0.528153813,0.242321983,0.242321983,0.285330017,1.0,1.0,1.0,1.0
195,0.424758343,0.478185988,0.221511427,0.221511427,0.295763361,1.0,1.0,1.0,1.0
196,0.427570523,0.428218162,0.200700871,0.200700871,0.306196706,1.0,1.0,1.0,1.0
197,0.430382703,0.378250336,0.179890316,0.179890316,0.31663005,1.0,1.0,1.0,1.0
198,0.433194883,0.328282511,0.15907976,0.15907976,0.327063394,1.0,1.0,1.0,1.0
199,0.436007063,0.278314685,0.138269204,0.138269204,0.337496739,1.0,1.0,1.0,1.0
200,0.438819242,0.234376692,0.117481651,0.117481651,0.347930083,1.0,1.0,1.0,1.0
201,0.441631422,0.190438698,0.096694097,0.096694097,0.358363428,1.0,1.0,1.0,1.0
202,0.444443602,0.146500705,0.075906544,0.075906544,0.368796772,1.0,1.0,1.0,1.0
203,0.447255782,0.102562712,0.05511899,0.05511899,0.379230116,1.0,1.0,1.0,1.0
204,0.450067962,0.058624718,0.034331437,0.034331437,0.38966346,1.0,1.0,1.0,1.0
205,0.452880142,0.014686725,0.013543883,0.013543883,0.400096805,1.0,1.0,1.0,1.0
206,0.429961831,0.012238938,0.011286569,0.011286569,0.402351994,1.0,1.0,1.0,1.0
207,0.40704352,0.00979115,0.009029255,0.009029255,0.404607184,1.0,1.0,1.0,1.0
208,0.384125209,0.007343362,0.006771942,0.006771942,0.406862373,1.0,1.0,1.0,1.0
209,0.361206898,0.004895575,0.004514628,0.004514628,0.409117562,1.0,1.0,1.0,1.0
210,0.338288587,0.002447787,0.002257314,0.002257314,0.411372751,1.0,1.0,1.0,1.0
211,0.315370275,0.0,0.0,0.0,0.41362794,1.0,1.0,1.0,1.0
212,0.292451964,0.0,0.0,0.0,0.415883129,1.0,1.0,1.0,1.0
213,0.269533653,0.0,0.0,0.0,0.418138319,1.0,1.0,1.0,1.0
214,0.246615342,0.0,0.0,0.0,0.420393508,1.0,1.0,1.0,1.0
215,0.223697031,0.0,0.0,0.0,0.422648697,1.0,1.0,1.0,1.0
216,0.20077872,0.0,0.0,0.0,0.424903887,1.0,1.0,1.0,1.0
217,0.177860409,0.0,0.0,0.0,0.427159076,1.0,1.0,1.0,1.0
218,0.186676629,0.0,0.0,0.0,0.424994391,1.0,1.0,1.0,1.0
219,0.195492848,0.0,0.0,0.0,0.422829707,1.0,1.0,1.0,1.0
220,0.204309068,0.0,0.0,0.0,0.420665022,1.0,1.0,1.0,1.0
221,0.213125287,0.0,0.0,0.0,0.418500338,1.0,1.0,1.0,1.0
222,0.221941507,0.0,0.0,0.0,0.416335653,1.0,1.0,1.0,1.0
223,0.230757727,0.0,0.0,0.0,0.414170969,1.0,1.0,1.0,1.0
224,0.239573946,0.0,0.0,0.0,0.412006284,1.0,1.0,1.0,1.0
225,0.248390166,0.0,0.0,0.0,0.409841599,1.0,1.0,1.0,1.0
226,0.257206385,0.0,0.0,0.0,0.407676915,1.0,1.0,1.0,1.0
227,0.266022605,0.0,0.0,0.0,0.405512231,1.0,1.0,1.0,1.0
228,0.274838824,0.0,0.0,0.0,0.403347546,1.0,1.0,1.0,1.0
229,0.283655044,0.0,0.0,0.0,0.401182861,1.0,1.0,1.0,1.0
230,0.282450301,0.0,0.0,0.0,0.397615304,1.0,1.0,1.0,1.0
231,0.281245558,0.0,0.0,0.0,0.394047747,1.0,1.0,1.0,1.0
232,0.280040815,0.0,0.0,0.0,0.390480191,1.0,1.0,1.0,1.0
233,0.278836071,0.0,0.0,0.0,0.386912633,1.0,1.0,1.0,1.0
234,0.277631328,0.0,0.0,0.0,0.383345077,1.0,1.0,1.0,1.0
235,0.276426585,0.0,0.0,0.0,0.37977752,1.0,1.0,1.0,1.0
236,0.275221842,0.0,0.0,0.0,0.376209963,1.0,1.0,1.0,1.0
237,0.274017099,0.0,0.0,0.0,0.372642406,1.0,1.0,1.0,1.0
238,0.272812356,0.0,0.0,0.0,0.369074849,1.0,1.0,1.0,1.0
239,0.271607612,0.0,0.0,0.0,0.365507292,1.0,1.0,1.0,1.0
