Region,Resource,Zone,Cluster,CapRes_1,AnnualSum
SD,onshore_wind,1,1,6.600423463301111e6,6.600423463301111e6
SD,solar_pv_sat,1,1,2.5552708031850792e7,2.5552708031850792e7
SD,solar_btm,1,1,1.3834534919368073e6,1.3834534919368073e6
SD,solar_btm_curt,1,1,349848.71860874724,349848.71860874724
SD,hydro,1,1,4.0989922822390283e6,4.0989922822390283e6
SD,battery4,1,1,0.0,0.0
SD,battery8,1,1,1.4523595181335678e7,1.4523595181335678e7
SD,pumped_hydro_long,1,1,0.0,0.0
SD,pumped_hydro_short,1,1,0.0,0.0
SD,geothermal,1,1,1.6560040717012677e8,1.6560040717012677e8
