Constraint,CapRes_1
t1,0.0
t2,0.0
t3,0.0
t4,0.0
t5,0.0
t6,0.0
t7,0.0
t8,0.0
t9,0.0
t10,0.0
t11,0.0
t12,0.0
t13,0.0
t14,0.0
t15,0.0
t16,0.0
t17,0.0
t18,0.0
t19,0.0
t20,0.0
t21,0.0
t22,0.0
t23,0.0
t24,0.0
t25,0.0
t26,0.0
t27,0.0
t28,0.0
t29,0.0
t30,0.0
t31,0.0
t32,0.0
t33,0.0
t34,0.0
t35,0.0
t36,0.0
t37,0.0
t38,0.0
t39,0.0
t40,0.0
t41,0.0
t42,0.0
t43,0.0
t44,0.0
t45,0.0
t46,0.0
t47,0.0
t48,0.0
t49,0.0
t50,0.0
t51,0.0
t52,0.0
t53,0.0
t54,0.0
t55,0.0
t56,0.0
t57,0.0
t58,0.0
t59,0.0
t60,0.0
t61,0.0
t62,0.0
t63,0.0
t64,0.0
t65,0.0
t66,0.0
t67,0.0
t68,0.0
t69,0.0
t70,0.0
t71,0.0
t72,0.0
t73,0.0
t74,0.0
t75,0.0
t76,0.0
t77,0.0
t78,0.0
t79,0.0
t80,0.0
t81,0.0
t82,0.0
t83,0.0
t84,0.0
t85,0.0
t86,0.0
t87,0.0
t88,0.0
t89,0.0
t90,-0.0
t91,0.0
t92,0.0
t93,0.0
t94,0.0
t95,-0.0
t96,0.0
t97,0.0
t98,0.0
t99,0.0
t100,-0.0
t101,0.0
t102,0.0
t103,0.0
t104,0.0
t105,0.0
t106,0.0
t107,0.0
t108,0.0
t109,0.0
t110,0.0
t111,0.0
t112,0.0
t113,0.0
t114,0.0
t115,0.0
t116,0.0
t117,0.0
t118,0.0
t119,0.0
t120,0.0
t121,0.0
t122,0.0
t123,0.0
t124,0.0
t125,0.0
t126,0.0
t127,0.0
t128,0.0
t129,0.0
t130,0.0
t131,0.0
t132,0.0
t133,0.0
t134,0.0
t135,0.0
t136,0.0
t137,0.0
t138,0.0
t139,0.0
t140,0.0
t141,0.0
t142,0.0
t143,0.0
t144,0.0
t145,0.0
t146,0.0
t147,0.0
t148,0.0
t149,0.0
t150,0.0
t151,0.0
t152,0.0
t153,0.0
t154,0.0
t155,0.0
t156,0.0
t157,0.0
t158,0.0
t159,0.0
t160,0.0
t161,0.0
t162,0.0
t163,0.0
t164,0.0
t165,0.0
t166,0.0
t167,0.0
t168,0.0
t169,0.0
t170,0.0
t171,0.0
t172,0.0
t173,0.0
t174,0.0
t175,0.0
t176,0.0
t177,0.0
t178,0.0
t179,0.0
t180,0.0
t181,0.0
t182,0.0
t183,0.0
t184,0.0
t185,0.0
t186,0.0
t187,0.0
t188,0.0
t189,0.0
t190,0.0
t191,0.0
t192,0.0
t193,0.0
t194,0.0
t195,-0.0
t196,0.0
t197,0.0
t198,0.0
t199,0.0
t200,0.0
t201,0.0
t202,0.0
t203,0.0
t204,0.0
t205,0.0
t206,0.0
t207,0.0
t208,0.0
t209,0.0
t210,0.0
t211,0.0
t212,0.0
t213,0.0
t214,0.0
t215,0.0
t216,0.0
t217,0.0
t218,0.0
t219,0.0
t220,0.0
t221,0.0
t222,0.0
t223,0.0
t224,0.0
t225,0.0
t226,0.0
t227,0.0
t228,0.0
t229,0.0
t230,0.0
t231,0.0
t232,0.0
t233,0.0
t234,0.0
t235,0.0
t236,0.0
t237,0.0
t238,0.0
t239,0.0
t240,0.0
t241,0.0
t242,0.0
t243,0.0
t244,0.0
t245,0.0
t246,0.0
t247,0.0
t248,0.0
t249,0.0
t250,0.0
t251,0.0
t252,0.0
t253,0.0
t254,0.0
t255,0.0
t256,0.0
t257,0.0
t258,0.0
t259,0.0
t260,0.0
t261,0.0
t262,0.0
t263,0.0
t264,0.0
t265,0.0
t266,0.0
t267,0.0
t268,0.0
t269,0.0
t270,0.0
t271,0.0
t272,0.0
t273,0.0
t274,0.0
t275,0.0
t276,0.0
t277,0.0
t278,0.0
t279,0.0
t280,0.0
t281,0.0
t282,0.0
t283,0.0
t284,0.0
t285,0.0
t286,0.0
t287,0.0
t288,0.0
t289,0.0
t290,0.0
t291,0.0
t292,0.0
t293,0.0
t294,0.0
t295,0.0
t296,0.0
t297,0.0
t298,0.0
t299,0.0
t300,0.0
t301,0.0
t302,0.0
t303,0.0
t304,0.0
t305,0.0
t306,0.0
t307,0.0
t308,0.0
t309,0.0
t310,0.0
t311,0.0
t312,0.0
t313,0.0
t314,0.0
t315,0.0
t316,0.0
t317,0.0
t318,0.0
t319,0.0
t320,0.0
t321,0.0
t322,0.0
t323,0.0
t324,0.0
t325,0.0
t326,0.0
t327,0.0
t328,0.0
t329,0.0
t330,0.0
t331,0.0
t332,0.0
t333,0.0
t334,0.0
t335,0.0
t336,0.0
t337,0.0
t338,0.0
t339,0.0
t340,0.0
t341,0.0
t342,0.0
t343,0.0
t344,0.0
t345,0.0
t346,0.0
t347,0.0
t348,0.0
t349,0.0
t350,0.0
t351,0.0
t352,0.0
t353,0.0
t354,0.0
t355,0.0
t356,0.0
t357,0.0
t358,0.0
t359,0.0
t360,0.0
t361,0.0
t362,0.0
t363,0.0
t364,0.0
t365,0.0
t366,0.0
t367,0.0
t368,0.0
t369,0.0
t370,0.0
t371,0.0
t372,0.0
t373,0.0
t374,0.0
t375,0.0
t376,0.0
t377,0.0
t378,0.0
t379,-0.0
t380,-0.0
t381,0.0
t382,0.0
t383,0.0
t384,0.0
t385,-0.0
t386,0.0
t387,0.0
t388,0.0
t389,0.0
t390,0.0
t391,0.0
t392,0.0
t393,0.0
t394,0.0
t395,0.0
t396,0.0
t397,0.0
t398,0.0
t399,0.0
t400,0.0
t401,0.0
t402,0.0
t403,0.0
t404,0.0
t405,0.0
t406,0.0
t407,0.0
t408,0.0
t409,0.0
t410,0.0
t411,0.0
t412,0.0
t413,0.0
t414,0.0
t415,0.0
t416,0.0
t417,0.0
t418,0.0
t419,0.0
t420,0.0
t421,0.0
t422,0.0
t423,0.0
t424,0.0
t425,0.0
t426,0.0
t427,0.0
t428,0.0
t429,0.0
t430,0.0
t431,0.0
t432,0.0
t433,0.0
t434,0.0
t435,0.0
t436,0.0
t437,0.0
t438,0.0
t439,0.0
t440,0.0
t441,0.0
t442,0.0
t443,0.0
t444,0.0
t445,0.0
t446,0.0
t447,0.0
t448,0.0
t449,0.0
t450,0.0
t451,0.0
t452,0.0
t453,0.0
t454,0.0
t455,0.0
t456,0.0
t457,0.0
t458,0.0
t459,0.0
t460,0.0
t461,0.0
t462,0.0
t463,0.0
t464,0.0
t465,0.0
t466,0.0
t467,0.0
t468,0.0
t469,0.0
t470,0.0
t471,0.0
t472,0.0
t473,0.0
t474,0.0
t475,0.0
t476,0.0
t477,0.0
t478,0.0
t479,0.0
t480,-0.0
t481,0.0
t482,-0.0
t483,-0.0
t484,0.0
t485,-0.0
t486,0.0
t487,0.0
t488,0.0
t489,0.0
t490,0.0
t491,0.0
t492,0.0
t493,0.0
t494,0.0
t495,0.0
t496,0.0
t497,0.0
t498,0.0
t499,0.0
t500,0.0
t501,0.0
t502,0.0
t503,0.0
t504,0.0
t505,0.0
t506,0.0
t507,0.0
t508,0.0
t509,0.0
t510,0.0
t511,0.0
t512,0.0
t513,0.0
t514,0.0
t515,0.0
t516,0.0
t517,0.0
t518,0.0
t519,0.0
t520,0.0
t521,0.0
t522,0.0
t523,0.0
t524,0.0
t525,0.0
t526,0.0
