Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro_long,pumped_hydro_short,geothermal,Total
Zone,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,1.4104936787886773e6,1.1680671380353086e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3091165059141763e7
t1,5.856109182306525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.856109182306525
t2,6.485641841792816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.485641841792816
t3,7.036294281348162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.036294281348162
t4,7.6609795508344405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6609795508344405
t5,8.190921210320731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.190921210320731
t6,8.864081339876073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.864081339876073
t7,9.446462989362352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.446462989362352
t8,10.012276108848646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.012276108848646
t9,10.623037828403987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.623037828403987
t10,11.215731927890275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.215731927890275
t11,11.769551887376565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.769551887376565
t12,12.370523796931906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.370523796931906
t13,13.018206896418192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.018206896418192
t14,13.375594868661864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.375594868661864
t15,13.71755933090553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.71755933090553
t16,13.958609903149195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.958609903149195
t17,14.301744045392866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.301744045392866
t18,14.530744137636539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.530744137636539
t19,14.7844218898802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7844218898802
t20,14.989903692054824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.989903692054824
