Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro_long,pumped_hydro_short,geothermal,Total
Zone,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,909334.2004492473,1.704415903041084e6,777809.9918735257,196693.15272541335,185979.01289386064,0.0,625645.1391304204,0.0,0.0,1.7442742483554636e6,6.144151648469014e6
t1,25.34470564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,41.34470564
t2,25.14978189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,41.14978189
t3,25.03373842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,41.03373842
t4,24.84366206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,40.84366206
t5,24.748329310000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,40.74832931
t6,24.509778150000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,40.50977815
t7,24.362005410000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,40.36200541
t8,24.230801200000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,40.2308012
t9,24.054648450000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,40.05464845
t10,23.89656326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,39.89656326
t11,23.777352209999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,39.77735221
t12,23.610989269999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,39.61098927
t13,23.397915079999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,39.39791508
t14,23.193143829999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,39.19314383
t15,23.00379609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,39.00379609
t16,22.91536224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,38.91536224
t17,22.72484482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,38.72484482
t18,22.64846145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,38.64846145
t19,22.547400420000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,38.54740042
t20,22.49453528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,38.49453528
t21,22.43461938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,38.43461938
t22,22.40378783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,38.40378783
