BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,5.5185065093384655e6,625645.1391304204,-739183.7655132804,0.0,0.0,553.8183612632157,0.0,0.0,0.0,-5.405521701316869e6
t1,41.34470564,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.34470564
t2,41.14978189,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.14978189
t3,41.03373842,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.03373842
t4,40.84366206,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.84366206
t5,40.74832931,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.74832931
t6,40.50977815,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.50977815
t7,40.36200541,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.36200541
t8,40.2308012,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.2308012
t9,40.05464845,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.05464845
t10,39.89656326,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.89656326
t11,39.77735221,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.77735221
t12,39.61098927,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.61098927
t13,39.39791508,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.39791508
t14,39.19314383,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.19314383
t15,39.00379609,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.00379609
t16,38.91536224,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.91536224
t17,38.72484482,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.72484482
t18,38.64846145,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.64846145
t19,38.54740042,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.54740042
t20,38.49453528,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.49453528
t21,38.43461938,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.43461938
t22,38.40378783,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.40378783
t23,38.36253254,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.36253254
t24,38.30849775,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.30849775
t25,38.32541115,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.32541115
t26,38.26011059,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.26011059
t27,38.18731857,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.18731857
t28,38.08456089,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.08456089
t29,38.07919157,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.07919157
t30,38.10863531,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.10863531
t31,38.03408049,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.03408049
t32,37.92896026,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.92896026
t33,37.88421209,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.88421209
t34,37.88881918,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.88881918
t35,37.81710607,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.81710607
t36,37.78990082,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.78990082
t37,37.87154157,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.87154157
t38,37.86636737,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.86636737
t39,37.84224428,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.84224428
t40,37.89303544,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.89303544
t41,37.83949189,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.83949189
t42,37.84191368,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.84191368
t43,37.91572434,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.91572434
t44,37.95163639,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.95163639
t45,37.96992157,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.96992157
t46,38.00715563,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.00715563
t47,37.97900085,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.97900085
t48,38.06013272,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.06013272
t49,38.14831535,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.14831535
t50,38.24910714,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.24910714
t51,38.34549223,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.34549223
t52,38.43174185,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.43174185
t53,38.52048391,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.52048391
t54,38.64051369,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.64051369
t55,38.76142483,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.76142483
t56,38.9037253,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.9037253
t57,39.03985638,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.03985638
t58,39.21080055,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.21080055
t59,39.41829244,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.41829244
t60,39.6843937,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.6843937
t61,40.01439241,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.01439241
t62,40.30431462,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.30431462
t63,40.55413569,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.55413569
t64,40.83171911,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.83171911
t65,41.16464307,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.16464307
t66,41.53414284,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.53414284
t67,41.96269264,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.96269264
t68,42.3768981,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.3768981
t69,42.78978153,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.78978153
t70,43.26964711,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.26964711
t71,43.72907569,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.72907569
t72,44.25019834,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.25019834
t73,44.87752292,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.87752292
t74,45.44087837,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.44087837
t75,45.9319636,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.9319636
t76,46.257422475183446,0.10349160481655062,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.36091408
t77,46.22670730622072,0.4475030637792763,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.67421037
t78,47.07123433,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.07123433
t79,46.165277028364315,1.3104727116356827,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.47574974
t80,46.134561859401586,1.718655610598411,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.85321747
t81,48.12272057,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.12272057
t82,46.07313152147613,2.3975317685238693,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.47066329
t83,48.70472154,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.70472154
t84,46.011701243619726,2.983925226380272,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.99562647
t85,49.43591922,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.43591922
