Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro_long,pumped_hydro_short,geothermal
Zone,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,1199.8300915460738,0.0,1822.8402735292539,0.0,0.0,0.0
t2,0.0,0.0,0.0,0.0,1201.2486815240738,0.0,1822.8402735292539,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0,1202.6559229100737,0.0,1822.8402735292539,0.0,0.0,0.0
t4,0.0,0.0,0.0,0.0,1204.0518157100737,0.0,1822.8402735292539,0.0,0.0,0.0
t5,0.0,0.0,0.0,0.0,1205.4363599240737,0.0,1822.8402735292539,0.0,0.0,0.0
t6,0.0,0.0,0.0,0.0,1206.8095555460736,0.0,1822.8402735292539,0.0,0.0,0.0
t7,0.0,0.0,0.0,0.0,1208.1714025820736,0.0,1822.8402735292539,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0,1209.5219010260737,0.0,1822.8402735292539,0.0,0.0,0.0
t9,0.0,0.0,0.0,0.0,1210.8610508840736,0.0,1822.8402735292539,0.0,0.0,0.0
t10,0.0,0.0,0.0,0.0,1212.1888521500737,0.0,1822.8402735292539,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0,1213.5053048300738,0.0,1822.8402735292539,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0,1214.8104089240737,0.0,1822.8402735292539,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0,1216.1041644260738,0.0,1822.8402735292539,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0,1217.3901684320738,0.0,1822.8402735292539,0.0,0.0,0.0
t15,0.0,0.0,0.0,0.0,1218.6684209360737,0.0,1822.8402735292539,0.0,0.0,0.0
t16,0.0,0.0,0.0,0.0,1219.9389219380737,0.0,1822.8402735292539,0.0,0.0,0.0
t17,0.0,0.0,0.0,0.0,1221.2016714380736,0.0,1822.8402735292539,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0,1222.4566694420737,0.0,1822.8402735292539,0.0,0.0,0.0
t19,0.0,0.0,0.0,0.0,1223.7039159440737,0.0,1822.8402735292539,0.0,0.0,0.0
t20,0.0,0.0,0.0,0.0,1224.9434109440738,0.0,1822.8402735292539,0.0,0.0,0.0
t21,0.0,0.0,0.0,0.0,1226.1751544420738,0.0,1822.8402735292539,0.0,0.0,0.0
t22,0.0,0.0,0.0,0.0,1227.3991464440737,0.0,1822.8402735292539,0.0,0.0,0.0
t23,0.0,0.0,0.0,0.0,1228.6153869440736,0.0,1822.8402735292539,0.0,0.0,0.0
t24,0.0,0.0,0.0,0.0,1229.8238759420735,0.0,1822.8402735292539,0.0,0.0,0.0
t25,0.0,0.0,0.0,0.0,1231.0246134380736,0.0,1822.8402735292539,0.0,0.0,0.0
t26,0.0,0.0,0.0,0.0,1232.2266197240735,0.0,1822.8402735292539,0.0,0.0,0.0
t27,0.0,0.0,0.0,0.0,1233.4298948060734,0.0,1822.8402735292539,0.0,0.0,0.0
t28,0.0,0.0,0.0,0.0,1234.6344386840735,0.0,1822.8402735292539,0.0,0.0,0.0
t29,0.0,0.0,0.0,0.0,1235.8402513580736,0.0,1822.8402735292539,0.0,0.0,0.0
t30,0.0,0.0,0.0,0.0,1237.0473328220737,0.0,1822.8402735292539,0.0,0.0,0.0
t31,0.0,0.0,0.0,0.0,1238.2556830760736,0.0,1822.8402735292539,0.0,0.0,0.0
t32,0.0,0.0,0.0,0.0,1239.4653021260735,0.0,1822.8402735292539,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.0,1240.6761899660735,0.0,1822.8402735292539,0.0,0.0,0.0
t34,0.0,0.0,0.0,0.0,1241.8883466020734,0.0,1822.8402735292539,0.0,0.0,0.0
t35,0.0,0.0,0.0,0.0,1243.1017720280734,0.0,1822.8402735292539,0.0,0.0,0.0
t36,0.0,0.0,0.0,0.0,1244.3164662500733,0.0,1822.8402735292539,0.0,0.0,0.0
t37,0.0,0.0,0.0,0.0,1245.5324292620733,0.0,1822.8402735292539,0.0,0.0,0.0
t38,0.0,0.0,0.0,0.0,1246.7544963620733,0.0,1822.8402735292539,0.0,0.0,0.0
t39,0.0,0.0,0.0,0.0,1247.9826675500733,0.0,1822.8402735292539,0.0,0.0,0.0
t40,0.0,0.0,0.0,0.0,1249.2169428260734,0.0,1822.8402735292539,0.0,0.0,0.0
t41,0.0,0.0,0.0,0.0,1250.4573221900735,0.0,1822.8402735292539,0.0,0.0,0.0
