region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
SD,onshore_wind,1,1,1,2.22605198115977e6,0.0,645299.7939378516,0.0,0.06653889509763475,0.0,0.0,0.0,0.0,NaN,0.0,2.8713517421526304e6,0.0,0.0,0.0,NaN,2.8713518416365166e6,NaN
SD,solar_pv_sat,1,1,2,9.860574938693743e6,0.0,5.762755014355383e6,0.0,0.006315507195926618,0.0,0.0,0.0,0.0,NaN,0.0,1.5623329951124905e7,0.0,0.0,0.0,NaN,1.5623329959364634e7,NaN
SD,solar_btm,1,1,3,0.0,0.0,0.0,0.0,0.006333514594304442,0.0,0.0,0.0,0.0,NaN,0.0,1.3848521521516624e6,0.0,0.0,0.0,NaN,0.006333514594304442,NaN
SD,solar_btm_curt,1,1,4,0.0,0.0,0.0,0.0,0.0016016237466755553,0.0,0.0,0.0,0.0,NaN,0.0,350202.4128144347,0.0,0.0,0.0,NaN,0.0016016237466755553,NaN
SD,hydro,1,1,5,583200.0,0.0,259230.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,4.0386371533540366e6,0.0,0.0,0.0,NaN,842430.0,NaN
SD,battery4,1,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN
SD,battery8,1,1,7,469711.70962700085,1.102684196025924e7,201158.25184813378,1.8482724280125976e6,0.08409852170456879,0.0,0.0,0.0,NaN,NaN,0.0,1.3545984349746967e7,0.0,0.0,0.0,NaN,NaN,NaN
SD,pumped_hydro_long,1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN
SD,pumped_hydro_short,1,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN
SD,geothermal,1,1,10,1.86468e7,0.0,8.0e6,0.0,39.9999999999999,0.0,0.0,0.0,0.0,NaN,0.0,1.6125125645794556e8,0.0,0.0,0.0,NaN,2.664684e7,NaN
