Region,Resource,Zone,Cluster,CapRes_1,AnnualSum
SD,onshore_wind,1,1,2.8713517421526304e6,2.8713517421526304e6
SD,solar_pv_sat,1,1,1.5623329951124905e7,1.5623329951124905e7
SD,solar_btm,1,1,1.3848521521516624e6,1.3848521521516624e6
SD,solar_btm_curt,1,1,350202.4128144347,350202.4128144347
SD,hydro,1,1,4.0386371533540366e6,4.0386371533540366e6
SD,battery4,1,1,0.0,0.0
SD,battery8,1,1,1.3545984349746967e7,1.3545984349746967e7
SD,pumped_hydro_long,1,1,0.0,0.0
SD,pumped_hydro_short,1,1,0.0,0.0
SD,geothermal,1,1,1.6125125645794556e8,1.6125125645794556e8
