Resource,Zone,AnnualSum,Capacity,CapacityFactor
onshore_wind,1,7.9846677311028795,25.81199175751406,0.309339465397067
solar_pv_sat,1,6.315507195926618,250.5545658415384,0.025206114982238386
solar_btm,1,6.333514594304441,32.11,0.19724430377777818
solar_btm_curt,1,1.6016237466755552,8.12,0.19724430377777824
hydro,1,0.0,6.0,0.0
battery4,1,0.0,0.0,0.0
battery8,1,6.727881736365503,41.09463776264224,0.0
pumped_hydro_long,1,0.0,0.0,0.0
pumped_hydro_short,1,0.0,0.0,0.0
geothermal,1,15.99999999999996,80.0,0.19999999999999998
