Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,MGA,Resource_Type,CapRes_1,ESR_1,ESR_2,region,cluster,LDS
onshore_wind,1,0,0,0,0,0,1,0,1,1,0,0,0,-1,-1,-1,0,0,0,86241,0,0,25000,0,0,0.008333333,0,7.43,None,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0.05,0.05,0,0,2,0,0,0,1,onshore_wind_turbine,0.1,1,1,SD,1,0
solar_pv_sat,1,0,0,0,0,0,1,0,1,1,0,0,0,-1,-1,-1,0,0,0,39355,0,0,23000,0,0,0.001,0,9.13,None,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0.05,0.15,0,0,7,0,0,0,1,solar,0.06,1,1,SD,1,0
solar_btm,1,0,1,0,0,0,0,0,0,-1,32.11,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.001,0,9.13,None,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0.05,0.15,0,0,7,0,0,0,1,solar,0.06,1,1,SD,1,0
solar_btm_curt,1,0,0,0,0,0,1,0,1,1,0,0,0,8.12,-1,-1,0,0,0,0,0,0,0,0,0,0.001,0,9.13,None,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0.05,0.15,0,0,7,0,0,0,1,solar,0.06,1,1,SD,1,0
hydro,1,0,0,0,0,1,0,0,0,1,0,0,0,6,-1,-1,0,0,0,97200,0,0,43205,0,0,0.016666667,0,9.12,None,0,0,0,6,6,0.75,0.75,288,0,0,1,1,0,0,0,0,1,0.05,0.15,0,0,6,0,0,0,1,hydro,0.31,1,1,SD,1,0
battery4,1,0,0,1,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,11430,2795.083333,0,4895,468.5,0,0.0125,0.0125,9.12,None,0,0,0,0,0,1,1,0,0,0,0.92,0.92,48,48,0,0,1,0.05,0.15,0,0,12,0,0,1,1,battery_mid,0.4,1,1,SD,1,0
battery8,1,0,0,1,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,11430,2795.083333,0,4895,468.5,0,0.0125,0.0125,9.12,None,0,0,0,0,0,1,1,0,0,0,0.92,0.92,96,96,0,0,1,0.05,0.15,0,0,12,0,0,1,1,battery_mid,0.7,1,1,SD,1,0
pumped_hydro_long,1,0,0,1,0,0,0,0,0,1,0,0,0,42,-1,-1,0,0,0,14288,3493.833333,0,40113,100,0,0.008333333,0.008333333,9.12,None,0,0,0,6,6,0.75,0.75,2400,0,0,0.8,0.8,96,9960,0,0,1,0.05,0.15,0,0,12,0,0,1,1,hydroelectric_pumped_storage,0.73,1,1,SD,1,0
pumped_hydro_short,1,0,0,1,0,0,0,0,0,1,0,0,0,500,48000,-1,0,0,0,14288,3493.833333,0,40113,100,0,0.008333333,0.008333333,9.12,None,0,0,0,6,6,0.75,0.75,2400,0,0,0.8,0.8,96,96,0,0,1,0.05,0.15,0,0,12,0,0,1,1,hydroelectric_pumped_storage,0.73,1,1,SD,1,0
geothermal,1,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,233085,0,0,175000,0,0,8.333333333,0,10,None,5,100,0,72,72,0.75,0.75,0,0.1,0,1,1,0,0,0,0,1,0.05,0.15,0,0,12,0,0,1,1,geothermal,0.9,1,1,SD,1,0
