region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
SD,onshore_wind,1,1,1,4.476431487162121e6,0.0,1.2976517802327548e6,0.0,442.3328661471567,0.0,0.0,0.0,0.0,739310.826229478,0.0,5.035214774031522e6,0.0,0.0,0.0,5.774525600261e6,5.774525600261022e6,-2.2351741790771484e-8
SD,solar_pv_sat,1,1,2,5.460416951576319e6,0.0,3.1911978118728325e6,0.0,561.373479868508,0.0,0.0,0.0,0.0,349866.8759545887,0.0,8.302309260974368e6,0.0,0.0,0.0,8.652176136928957e6,8.65217613692902e6,-6.332993507385254e-8
SD,solar_btm,1,1,3,0.0,0.0,0.0,0.0,150.68729734259634,0.0,0.0,0.0,0.0,40809.16956419298,0.0,1.3548045432678428e6,0.0,0.0,0.0,1.3956137128320357e6,150.68729734259634,1.3954630255346932e6
SD,solar_btm_curt,1,1,4,0.0,0.0,0.0,0.0,19.052956313015553,0.0,0.0,0.0,0.0,10319.852284685348,0.0,342603.9517700057,0.0,0.0,0.0,352923.80405469105,19.052956313015553,352904.75109837804
SD,hydro,1,1,5,583200.0,0.0,259230.0,0.0,3568.656287396111,0.0,0.0,0.0,0.0,532358.2979345078,0.0,2.925169705294004e6,0.0,0.0,0.0,3.457528003228512e6,845998.6562873961,2.6115293469411163e6
SD,battery4,1,1,6,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,3.1403571194841494e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56144259100435e-15,-4.56144259100435e-15
SD,battery8,1,1,7,402646.0308978524,9.452423811537556e6,172436.77351224737,1.5843751431025204e6,7784.371322064732,0.0,9197.03606103948,0.0,165204.2318449403,1.4956087961231077e6,0.0,1.0298458602155125e7,0.0,0.0,0.0,1.1794067398278233e7,1.1794067398278223e7,9.313225746154785e-9
SD,pumped_hydro_long,1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,pumped_hydro_short,1,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,geothermal,1,1,10,1.1636182546532236e8,0.0,2.7635934610934623e7,0.0,4.874830350034619e6,0.0,0.0,0.0,0.0,2.3565845094904555e6,0.0,1.4651600591670102e8,0.0,0.0,0.0,1.4887259042619148e8,1.488725904262916e8,-0.00010013580322265625
