Region,Resource,Zone,Cluster,CapRes_1,AnnualSum
SD,onshore_wind,1,1,5.035214774031522e6,5.035214774031522e6
SD,solar_pv_sat,1,1,8.302309260974368e6,8.302309260974368e6
SD,solar_btm,1,1,1.3548045432678428e6,1.3548045432678428e6
SD,solar_btm_curt,1,1,342603.9517700057,342603.9517700057
SD,hydro,1,1,2.925169705294004e6,2.925169705294004e6
SD,battery4,1,1,0.0,0.0
SD,battery8,1,1,1.0298458602155125e7,1.0298458602155125e7
SD,pumped_hydro_long,1,1,0.0,0.0
SD,pumped_hydro_short,1,1,0.0,0.0
SD,geothermal,1,1,1.4651600591670102e8,1.4651600591670102e8
