Resource,Zone,AnnualSum,Capacity,CapacityFactor
onshore_wind,1,1.1058321653678918e6,51.90607120931019,0.2026682454430237
solar_pv_sat,1,1.8712449328950269e6,138.74773095099272,0.12829785503389585
solar_btm,1,753436.4867129816,32.11,0.22321377390202793
solar_btm_curt,1,190529.56313015553,8.12,0.2232137739020237
hydro,1,214119.3729613792,6.0,0.33948403881497213
battery4,1,0.0,0.0,0.0
battery8,1,622749.7057651785,35.227124313022955,0.0
pumped_hydro_long,1,0.0,0.0,0.0
pumped_hydro_short,1,0.0,0.0,0.0
geothermal,1,1.2642194891168617e6,85.03364495672191,0.1414315605621273
