region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
SD,onshore_wind,1,1,1,3.406035533068152e6,0.0,987359.7050904303,0.0,7903.223171595576,0.0,0.0,0.0,0.0,550890.4142135807,0.0,3.8504080471167024e6,0.0,0.0,0.0,4.401298461330283e6,4.401298461330178e6,1.0523945093154907e-7
SD,solar_pv_sat,1,1,2,5.719771937105809e6,0.0,3.3427710469682026e6,0.0,2048.5447690938126,0.0,0.0,0.0,0.0,348582.2915479265,0.0,8.71600923729516e6,0.0,0.0,0.0,9.064591528843086e6,9.064591528843105e6,-1.862645149230957e-8
SD,solar_btm,1,1,3,0.0,0.0,0.0,0.0,753.4364867129816,0.0,0.0,0.0,0.0,42432.01351181593,0.0,1.3586324501406946e6,0.0,0.0,0.0,1.4010644636525107e6,753.4364867129816,1.4003110271657978e6
SD,solar_btm_curt,1,1,4,0.0,0.0,0.0,0.0,190.52956313015554,0.0,0.0,0.0,0.0,10730.23823469147,0.0,343571.9556257377,0.0,0.0,0.0,354302.1938604292,190.52956313015554,354111.66429729905
SD,hydro,1,1,5,583200.0,0.0,259230.0,0.0,3762.4444952436565,0.0,0.0,0.0,0.0,413220.4219660456,0.0,3.06873237003166e6,0.0,0.0,0.0,3.4819527919977056e6,846192.4444952436,2.635760347502462e6
SD,battery4,1,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,battery8,1,1,7,458717.32066249574,1.0768740262821278e7,196449.80618048264,1.8050105174205082e6,9565.391880173587,0.0,11301.266399072096,0.0,139737.68111000414,1.3507067641978783e6,0.0,1.2038815482276248e7,0.0,0.0,0.0,1.3389522246474126e7,1.3389522246474015e7,1.1175870895385742e-7
SD,pumped_hydro_long,1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,pumped_hydro_short,1,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,geothermal,1,1,10,1.2304098768834448e8,0.0,2.2282269422184236e7,0.0,3.7382909783899225e6,0.0,0.0,0.0,0.0,1.7269889215027853e6,0.0,1.47334559167455e8,0.0,0.0,0.0,1.490615480889578e8,1.4906154808891863e8,3.916025161743164e-5
