Region,Resource,Zone,Cluster,CapRes_1,AnnualSum
SD,onshore_wind,1,1,3.8504080471167024e6,3.8504080471167024e6
SD,solar_pv_sat,1,1,8.71600923729516e6,8.71600923729516e6
SD,solar_btm,1,1,1.3586324501406946e6,1.3586324501406946e6
SD,solar_btm_curt,1,1,343571.9556257377,343571.9556257377
SD,hydro,1,1,3.06873237003166e6,3.06873237003166e6
SD,battery4,1,1,0.0,0.0
SD,battery8,1,1,1.2038815482276248e7,1.2038815482276248e7
SD,pumped_hydro_long,1,1,0.0,0.0
SD,pumped_hydro_short,1,1,0.0,0.0
SD,geothermal,1,1,1.47334559167455e8,1.47334559167455e8
