Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
onshore_wind,1,0.0,0.0,39.49438820361721,39.49438820361721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_pv_sat,1,0.0,0.0,145.33787160731316,145.33787160731316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_btm,1,32.11,0.0,0.0,32.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_btm_curt,1,0.0,0.0,8.12,8.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro,1,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery8,1,0.0,0.0,40.13274896434783,40.13274896434783,0.0,0.0,3852.743900577392,3852.743900577392,0.0,0.0,0.0,0.0
pumped_hydro_long,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pumped_hydro_short,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geothermal,1,0.0,0.0,89.91457138435064,89.91457138435064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,n/a,32.11,0.0,328.99958015962886,361.1095801596289,0.0,0.0,3852.743900577392,3852.743900577392,0.0,0.0,0.0,0.0
