Resource,Zone,AnnualSum,Capacity,CapacityFactor
onshore_wind,1,948386.8185269418,39.49438820361721,0.2284361153836986
solar_pv_sat,1,2.0485447690938127e6,145.33787160731316,0.13408534426506333
solar_btm,1,753436.4867129816,32.11,0.22321377390202793
solar_btm_curt,1,190529.56313015553,8.12,0.2232137739020237
hydro,1,225746.6651996861,6.0,0.3579189897255297
battery4,1,0.0,0.0,0.0
battery8,1,765231.350413887,40.13274896434783,0.0
pumped_hydro_long,1,0.0,0.0,0.0
pumped_hydro_short,1,0.0,0.0,0.0
geothermal,1,1.2636476548093988e6,89.91457138435064,0.13369358378018822
