Year,Month,Day,Hour,Minute,Total (kW),,
2012,1,1,0,0,-21.4825,,
2012,1,1,0,30,-21.4825,,
2012,1,1,1,0,-21.4825,,
2012,1,1,1,30,-21.4825,,
2012,1,1,2,0,-21.4825,,
2012,1,1,2,30,-21.4825,,
2012,1,1,3,0,-21.4825,,
2012,1,1,3,30,-21.4825,,
2012,1,1,4,0,-21.4825,,
2012,1,1,4,30,-21.4825,,
2012,1,1,5,0,-21.4825,,
2012,1,1,5,30,-21.4825,,
2012,1,1,6,0,-21.4825,,
2012,1,1,6,30,-21.4825,,
2012,1,1,7,0,-21.4825,,
2012,1,1,7,30,4442.864,,
2012,1,1,8,0,8535.654,,
2012,1,1,8,30,12464.397,,
2012,1,1,9,0,16063.816,,
2012,1,1,9,30,19204.85,,
2012,1,1,10,0,22055.11,,
2012,1,1,10,30,24127.81,,
2012,1,1,11,0,25499.23,,
2012,1,1,11,30,26337.23,,
2012,1,1,12,0,26479.65,,
2012,1,1,12,30,26050.01,,
2012,1,1,13,0,24973.58,,
2012,1,1,13,30,23347.16,,
2012,1,1,14,0,21108.38,,
2012,1,1,14,30,18421.052,,
2012,1,1,15,0,15125.737,,
2012,1,1,15,30,11291.069,,
2012,1,1,16,0,7069.414,,
2012,1,1,16,30,1822.9659,,
2012,1,1,17,0,-21.4825,,
2012,1,1,17,30,-21.4825,,
2012,1,1,18,0,-21.4825,,
2012,1,1,18,30,-21.4825,,
2012,1,1,19,0,-21.4825,,
2012,1,1,19,30,-21.4825,,
2012,1,1,20,0,-21.4825,,
2012,1,1,20,30,-21.4825,,
2012,1,1,21,0,-21.4825,,
2012,1,1,21,30,-21.4825,,
2012,1,1,22,0,-21.4825,,
2012,1,1,22,30,-21.4825,,
2012,1,1,23,0,-21.4825,,
2012,1,1,23,30,-21.4825,,
2012,1,2,0,0,-21.4825,,
2012,1,2,0,30,-21.4825,,
2012,1,2,1,0,-21.4825,,
2012,1,2,1,30,-21.4825,,
2012,1,2,2,0,-21.4825,,
2012,1,2,2,30,-21.4825,,
2012,1,2,3,0,-21.4825,,
2012,1,2,3,30,-21.4825,,
2012,1,2,4,0,-21.4825,,
