Time,home_l1,home_l2,work_l1,work_l2,public_l2,public_l3,total,,Time,home_l1,home_l2,work_l1,work_l2,public_l2,public_l3,Total
0:00,27716.02,162382.28,1703.56,2229.95,16495.23,116.85,210643.89,,0:00,24195.7,141615.99,1135.9,1614.13,29723.39,421.17,198706.28
0:15,27734.66,162565.43,1585.51,2108.32,15407.67,116.85,209518.44,,0:15,24221.01,141690.37,1065.22,1527.66,26855.32,421.17,195780.75
0:30,27807.56,162986.31,1521.33,1973.28,14252.96,3.76,208545.2,,0:30,24291.75,142322.73,961.93,1437.88,24318.02,421.17,193753.48
0:45,27839.66,163366.39,1482.97,1926.6,13094.84,0,207710.46,,0:45,24347.61,142713.29,941.81,1420.33,21859.1,139.88,191422.02
1:00,27901.73,163833.05,1367.83,1694.33,12142.31,0,206939.25,,1:00,24424.84,143436.4,858.25,1287.46,19996.91,0,190003.86
1:15,27923.27,164090.12,1352.27,1662.98,11076.07,0,206104.71,,1:15,24502.99,144034.04,851.87,1276.29,18116.88,0,188782.07
1:30,27982.38,164699.39,1318.35,1631.57,10292.03,0,205923.72,,1:30,24619.1,145333.36,833.28,1227.55,16676.6,0,188689.89
1:45,28027.01,164856.37,1304.27,1622.62,9838.2,0,205648.47,,1:45,24680.26,145809.48,816.81,1203.56,15283.81,0,187793.92
2:00,28070.16,165468.55,1278.85,1514.15,9344.81,0,205676.52,,2:00,24763.42,146477.57,789.05,1174.71,13924.42,0,187129.17
2:15,28100.37,165887.84,1276.63,1514.95,8434.75,0,205214.54,,2:15,24813.75,146938.25,739.46,1147.52,12855.5,0,186494.48
2:30,28128.3,166364.48,1231.31,1471.11,7809.4,0,205004.6,,2:30,24853.94,148865.59,717.74,1125.18,11679.47,0,187241.92
2:45,28173.85,166848.86,1224.13,1512.21,7182.11,69.94,205011.1,,2:45,24932.26,149942.03,722.36,1178.36,11465.84,0,188240.85
3:00,28164.27,166860.09,1216.38,1498.59,6859.78,524.12,205123.23,,3:00,24945.14,150436.05,739.86,1268.48,10800.47,0,188190
3:15,28146.37,166556.39,1216.61,1513.75,6294.57,276.91,204004.6,,3:15,24933.97,150156.87,739.63,1278.74,9578.28,0,186687.49
3:30,28054.72,166021.91,1237.19,1641.54,5885.19,0,202840.55,,3:30,24897.2,149786.14,737.52,1291.28,8143.7,0,184855.84
3:45,27978.45,165712.28,1311.11,1772.42,5754.44,0,202528.7,,3:45,24855.65,149656.41,796.69,1341.84,6995.44,0,183646.03
