Year,Month,Day,Hour,Minute,Total PV Output (kW),,Month,Modeled Monthly Generation (MWh),Actual Monthly Generation (MWh),% Error,MSE
2012,1,1,0,0,0,,1,278,10.281,2605%,16933
2012,1,1,0,30,0,,2,288,102.102,182%,
2012,1,1,1,0,0,,3,402,250.336,61%,
2012,1,1,1,30,0,,4,428,362.209,18%,
2012,1,1,2,0,0,,5,506,497.878,2%,
2012,1,1,2,30,0,,6,522,538.131,-3%,
2012,1,1,3,0,0,,7,514,465.329,11%,
2012,1,1,3,30,0,,8,482,366.706,31%,
2012,1,1,4,0,0,,9,427,343.355,24%,
2012,1,1,4,30,0,,10,373,269.848,38%,
2012,1,1,5,0,0,,11,281,137.995,103%,
2012,1,1,5,30,0,,12,226,100.83,124%,
2012,1,1,6,0,0,,,,,,
2012,1,1,6,30,0,,,,,,
2012,1,1,7,0,0,,,,,,
2012,1,1,7,30,439.4734609,,,,,,
2012,1,1,8,0,949.1532485,,,,,,
2012,1,1,8,30,1170.543123,,,,,,
2012,1,1,9,0,1253.419763,,,,,,
2012,1,1,9,30,1277.084493,,,,,,
2012,1,1,10,0,1270.751235,,,,,,
2012,1,1,10,30,1237.694134,,,,,,
2012,1,1,11,0,1203.412773,,,,,,
2012,1,1,11,30,1179.433792,,,,,,
2012,1,1,12,0,1167.598538,,,,,,
2012,1,1,12,30,1184.356082,,,,,,
2012,1,1,13,0,1205.59502,,,,,,
2012,1,1,13,30,1233.694435,,,,,,
2012,1,1,14,0,1258.098543,,,,,,
2012,1,1,14,30,1264.538196,,,,,,
2012,1,1,15,0,1208.072312,,,,,,
2012,1,1,15,30,1088.468483,,,,,,
2012,1,1,16,0,689.3314375,,,,,,
2012,1,1,16,30,142.8940049,,,,,,
2012,1,1,17,0,0,,,,,,
2012,1,1,17,30,0,,,,,,
2012,1,1,18,0,0,,,,,,
2012,1,1,18,30,0,,,,,,
2012,1,1,19,0,0,,,,,,
2012,1,1,19,30,0,,,,,,
2012,1,1,20,0,0,,,,,,
2012,1,1,20,30,0,,,,,,
2012,1,1,21,0,0,,,,,,
2012,1,1,21,30,0,,,,,,
2012,1,1,22,0,0,,,,,,
