Year,Month,Day,Hour,Minute,Total PV Output (kW)
2012,1,1,0,0,0
2012,1,1,0,30,0
2012,1,1,1,0,0
2012,1,1,1,30,0
2012,1,1,2,0,0
2012,1,1,2,30,0
2012,1,1,3,0,0
2012,1,1,3,30,0
2012,1,1,4,0,0
2012,1,1,4,30,0
2012,1,1,5,0,0
2012,1,1,5,30,0
2012,1,1,6,0,0
2012,1,1,6,30,0
2012,1,1,7,0,0
2012,1,1,7,30,9460.723632
2012,1,1,8,0,18489.63616
2012,1,1,8,30,23283.07988
2012,1,1,9,0,25215.42551
2012,1,1,9,30,27161.29642
2012,1,1,10,0,26858.89794
2012,1,1,10,30,25267.82995
2012,1,1,11,0,25341.65443
2012,1,1,11,30,24833.53356
2012,1,1,12,0,23926.60314
2012,1,1,12,30,24256.37517
2012,1,1,13,0,25524.09213
2012,1,1,13,30,26207.53753
2012,1,1,14,0,26840.07577
2012,1,1,14,30,25757.17271
2012,1,1,15,0,24744.25264
2012,1,1,15,30,23500.72343
2012,1,1,16,0,14753.38215
2012,1,1,16,30,3180.418843
2012,1,1,17,0,0
2012,1,1,17,30,0
2012,1,1,18,0,0
2012,1,1,18,30,0
2012,1,1,19,0,0
2012,1,1,19,30,0
2012,1,1,20,0,0
2012,1,1,20,30,0
2012,1,1,21,0,0
2012,1,1,21,30,0
2012,1,1,22,0,0
2012,1,1,22,30,0
2012,1,1,23,0,0
2012,1,1,23,30,0
2012,1,2,0,0,0
2012,1,2,0,30,0
2012,1,2,1,0,0
2012,1,2,1,30,0
2012,1,2,2,0,0
2012,1,2,2,30,0
2012,1,2,3,0,0
2012,1,2,3,30,0
2012,1,2,4,0,0
2012,1,2,4,30,0
2012,1,2,5,0,0
2012,1,2,5,30,0
2012,1,2,6,0,0
2012,1,2,6,30,0
2012,1,2,7,0,0
2012,1,2,7,30,8744.276054
2012,1,2,8,0,19195.37185
2012,1,2,8,30,25274.59234
2012,1,2,9,0,26966.13721
2012,1,2,9,30,27368.4743
2012,1,2,10,0,26741.32144
2012,1,2,10,30,25957.45496
2012,1,2,11,0,25206.28729
2012,1,2,11,30,24677.45965
2012,1,2,12,0,24451.57065
2012,1,2,12,30,24080.089
2012,1,2,13,0,25382.75536
2012,1,2,13,30,26048.23767
2012,1,2,14,0,26649.73387
2012,1,2,14,30,26740.49385
2012,1,2,15,0,25580.39758
2012,1,2,15,30,23084.11298
2012,1,2,16,0,14515.19764
2012,1,2,16,30,3212.059865
2012,1,2,17,0,0
2012,1,2,17,30,0
2012,1,2,18,0,0
2012,1,2,18,30,0
2012,1,2,19,0,0
2012,1,2,19,30,0
2012,1,2,20,0,0
2012,1,2,20,30,0
2012,1,2,21,0,0
2012,1,2,21,30,0
2012,1,2,22,0,0
2012,1,2,22,30,0
2012,1,2,23,0,0
2012,1,2,23,30,0
2012,1,3,0,0,0
2012,1,3,0,30,0
2012,1,3,1,0,0
2012,1,3,1,30,0
2012,1,3,2,0,0
2012,1,3,2,30,0
2012,1,3,3,0,0
2012,1,3,3,30,0
2012,1,3,4,0,0
2012,1,3,4,30,0
2012,1,3,5,0,0
2012,1,3,5,30,0
2012,1,3,6,0,0
2012,1,3,6,30,0
2012,1,3,7,0,0
2012,1,3,7,30,8187.202573
2012,1,3,8,0,17003.37463
2012,1,3,8,30,22186.66132
2012,1,3,9,0,24984.29011
2012,1,3,9,30,26061.75936
2012,1,3,10,0,25759.7272
2012,1,3,10,30,24995.46838
2012,1,3,11,0,24249.65027
2012,1,3,11,30,23152.28497
2012,1,3,12,0,22836.87078
2012,1,3,12,30,23854.66614
2012,1,3,13,0,24377.1674
2012,1,3,13,30,25043.86339
2012,1,3,14,0,24674.91925
2012,1,3,14,30,24674.22415
2012,1,3,15,0,23502.22258
2012,1,3,15,30,22447.12356
2012,1,3,16,0,14314.9595
2012,1,3,16,30,3318.319237
2012,1,3,17,0,0
2012,1,3,17,30,0
2012,1,3,18,0,0
2012,1,3,18,30,0
2012,1,3,19,0,0
2012,1,3,19,30,0
2012,1,3,20,0,0
2012,1,3,20,30,0
2012,1,3,21,0,0
2012,1,3,21,30,0
2012,1,3,22,0,0
2012,1,3,22,30,0
2012,1,3,23,0,0
2012,1,3,23,30,0
2012,1,4,0,0,0
2012,1,4,0,30,0
2012,1,4,1,0,0
2012,1,4,1,30,0
2012,1,4,2,0,0
2012,1,4,2,30,0
2012,1,4,3,0,0
2012,1,4,3,30,0
2012,1,4,4,0,0
2012,1,4,4,30,0
2012,1,4,5,0,0
2012,1,4,5,30,0
2012,1,4,6,0,0
2012,1,4,6,30,0
2012,1,4,7,0,0
2012,1,4,7,30,9501.987802
2012,1,4,8,0,20724.67609
2012,1,4,8,30,25349.19142
2012,1,4,9,0,26889.95763
2012,1,4,9,30,27249.35323
2012,1,4,10,0,26762.10156
2012,1,4,10,30,26056.877
2012,1,4,11,0,25320.81637
2012,1,4,11,30,24806.84984
2012,1,4,12,0,24530.60442
2012,1,4,12,30,24869.81599
