Year,Month,Day,Hour,Minute,Total Wind Output (kW)
2012,1,1,0,0,83770.6
2012,1,1,1,0,97773.1
2012,1,1,2,0,102690.2
2012,1,1,3,0,79592.3
2012,1,1,4,0,67469.4
2012,1,1,5,0,68226.9
2012,1,1,6,0,81485.1
2012,1,1,7,0,80495.5
2012,1,1,8,0,68490.6
2012,1,1,9,0,74681.5
2012,1,1,10,0,62499.3
2012,1,1,11,0,59509.1
2012,1,1,12,0,49230.2
2012,1,1,13,0,50444.9
2012,1,1,14,0,46754.5
2012,1,1,15,0,55823.8
2012,1,1,16,0,63177.3
2012,1,1,17,0,88274.9
2012,1,1,18,0,110137.8
2012,1,1,19,0,102039.3
2012,1,1,20,0,83414.4
2012,1,1,21,0,77902.9
2012,1,1,22,0,74967.3
2012,1,1,23,0,83896.1
2012,1,2,0,0,67848.7
2012,1,2,1,0,64911.9
2012,1,2,2,0,63343.5
2012,1,2,3,0,74901.8
2012,1,2,4,0,76354.8
2012,1,2,5,0,77921.9
2012,1,2,6,0,77654.5
2012,1,2,7,0,74409.4
2012,1,2,8,0,74966.7
2012,1,2,9,0,73998.7
2012,1,2,10,0,57297.6
2012,1,2,11,0,55306.4
2012,1,2,12,0,54257.7
2012,1,2,13,0,47794.6
2012,1,2,14,0,38229.8
2012,1,2,15,0,32951.41
2012,1,2,16,0,38553.6
2012,1,2,17,0,40417.6
2012,1,2,18,0,37988.4
2012,1,2,19,0,30749.43
2012,1,2,20,0,23845.97
2012,1,2,21,0,18922.42
2012,1,2,22,0,10021.37
2012,1,2,23,0,8306.48
2012,1,3,0,0,4068.34
2012,1,3,1,0,3670.856
2012,1,3,2,0,3265.053
2012,1,3,3,0,4479.116
2012,1,3,4,0,8296.79
2012,1,3,5,0,11780.48
2012,1,3,6,0,18350.33
2012,1,3,7,0,12797.08
2012,1,3,8,0,14780.06
2012,1,3,9,0,12355.6
2012,1,3,10,0,6688.26
2012,1,3,11,0,15322.59
2012,1,3,12,0,20059.07
2012,1,3,13,0,18205.84
2012,1,3,14,0,13903.88
2012,1,3,15,0,8791.819
2012,1,3,16,0,6798.076
2012,1,3,17,0,11711.57
2012,1,3,18,0,15822.65
2012,1,3,19,0,26859.78
2012,1,3,20,0,25223.29
2012,1,3,21,0,21900.97
2012,1,3,22,0,26058.48
2012,1,3,23,0,31879.35
2012,1,4,0,0,23684.21
2012,1,4,1,0,24313.15
2012,1,4,2,0,28903.2
2012,1,4,3,0,37032.7
2012,1,4,4,0,44186.9
2012,1,4,5,0,50586.1
2012,1,4,6,0,53116
2012,1,4,7,0,52906
2012,1,4,8,0,78347
2012,1,4,9,0,80885
2012,1,4,10,0,93595.3
2012,1,4,11,0,76514
2012,1,4,12,0,77807.9
2012,1,4,13,0,67213.7
2012,1,4,14,0,72314.7
2012,1,4,15,0,62076.7
2012,1,4,16,0,66658
2012,1,4,17,0,55325.3
2012,1,4,18,0,53645
2012,1,4,19,0,51772.3
2012,1,4,20,0,40434.8
2012,1,4,21,0,32998.3
2012,1,4,22,0,30118.4
2012,1,4,23,0,26095.16
2012,1,5,0,0,23017
2012,1,5,1,0,27337.45
2012,1,5,2,0,24382.62
2012,1,5,3,0,20593.45
2012,1,5,4,0,23405.9
2012,1,5,5,0,25937.05
2012,1,5,6,0,23658.9
2012,1,5,7,0,20626.06
2012,1,5,8,0,18887.21
2012,1,5,9,0,14568.94
2012,1,5,10,0,11967.64
2012,1,5,11,0,8383.88
2012,1,5,12,0,6989
2012,1,5,13,0,11664.49
2012,1,5,14,0,12167.95
2012,1,5,15,0,8300.34
2012,1,5,16,0,7870.27
2012,1,5,17,0,7313.24
2012,1,5,18,0,4355.821
2012,1,5,19,0,0
2012,1,5,20,0,0
2012,1,5,21,0,0
2012,1,5,22,0,0
2012,1,5,23,0,0
2012,1,6,0,0,0
2012,1,6,1,0,973.558
2012,1,6,2,0,304.566
2012,1,6,3,0,0
2012,1,6,4,0,366.98
2012,1,6,5,0,3947.96
2012,1,6,6,0,4075.16
2012,1,6,7,0,2930.72
2012,1,6,8,0,1175.7
2012,1,6,9,0,1852.31
2012,1,6,10,0,0
2012,1,6,11,0,0
2012,1,6,12,0,0
2012,1,6,13,0,0
2012,1,6,14,0,1491.5
2012,1,6,15,0,2459.52
2012,1,6,16,0,13189.67
2012,1,6,17,0,19113.24
2012,1,6,18,0,19719.81
2012,1,6,19,0,22937.86
2012,1,6,20,0,31128.75
2012,1,6,21,0,35666.67
2012,1,6,22,0,34398.43
2012,1,6,23,0,40332.79
2012,1,7,0,0,45207.69
2012,1,7,1,0,55544.85
2012,1,7,2,0,43827.57
2012,1,7,3,0,21538.94
2012,1,7,4,0,13959.87
2012,1,7,5,0,16467.06
2012,1,7,6,0,20950.57
2012,1,7,7,0,13154.55
2012,1,7,8,0,12639.62
2012,1,7,9,0,13214.66
2012,1,7,10,0,6513.02
2012,1,7,11,0,3808.92
2012,1,7,12,0,1358.77
2012,1,7,13,0,0
2012,1,7,14,0,12036.62
2012,1,7,15,0,25992.13
2012,1,7,16,0,39548.1
2012,1,7,17,0,89464.2
2012,1,7,18,0,161278.5
2012,1,7,19,0,138684.4
2012,1,7,20,0,157367.5
2012,1,7,21,0,161278.5
2012,1,7,22,0,161278.5
2012,1,7,23,0,161278.5
2012,1,8,0,0,161278.5
2012,1,8,1,0,108329
2012,1,8,2,0,115664.5
2012,1,8,3,0,161278.5
2012,1,8,4,0,161278.5
2012,1,8,5,0,161278.5
2012,1,8,6,0,161278.5
2012,1,8,7,0,161278.5
2012,1,8,8,0,119039
2012,1,8,9,0,161278.5
2012,1,8,10,0,119039
2012,1,8,11,0,119039
2012,1,8,12,0,161278.5
2012,1,8,13,0,161278.5
2012,1,8,14,0,161278.5
2012,1,8,15,0,161278.5
2012,1,8,16,0,153331.5
2012,1,8,17,0,155568.1
2012,1,8,18,0,161278.5
2012,1,8,19,0,161278.5
2012,1,8,20,0,161278.5
2012,1,8,21,0,161278.5
2012,1,8,22,0,161278.5
2012,1,8,23,0,161278.5
2012,1,9,0,0,161278.5
2012,1,9,1,0,160648.5
2012,1,9,2,0,97734.5
2012,1,9,3,0,148525.5
2012,1,9,4,0,161278.5
2012,1,9,5,0,161278.5
2012,1,9,6,0,161278.5
2012,1,9,7,0,100486.1
2012,1,9,8,0,106828.5
2012,1,9,9,0,150376.5
2012,1,9,10,0,161278.5
2012,1,9,11,0,161278.5
2012,1,9,12,0,157771.5
2012,1,9,13,0,150935.5
2012,1,9,14,0,121030.1
2012,1,9,15,0,115507.6
2012,1,9,16,0,83894.6
2012,1,9,17,0,70220.9
2012,1,9,18,0,58104.2
2012,1,9,19,0,29750.4
2012,1,9,20,0,14922.66
2012,1,9,21,0,9720.5
2012,1,9,22,0,4806.91
2012,1,9,23,0,922.914
2012,1,10,0,0,0
2012,1,10,1,0,0
2012,1,10,2,0,0
2012,1,10,3,0,0
2012,1,10,4,0,0
2012,1,10,5,0,0
2012,1,10,6,0,145.198
2012,1,10,7,0,1741.29
2012,1,10,8,0,5104.92
2012,1,10,9,0,1545.1764
2012,1,10,10,0,0
2012,1,10,11,0,0
2012,1,10,12,0,3281.723
2012,1,10,13,0,2863.6
2012,1,10,14,0,295.967
2012,1,10,15,0,0
2012,1,10,16,0,0
2012,1,10,17,0,0
2012,1,10,18,0,0
2012,1,10,19,0,0
2012,1,10,20,0,0
2012,1,10,21,0,0
2012,1,10,22,0,0
2012,1,10,23,0,0
2012,1,11,0,0,0
2012,1,11,1,0,0
2012,1,11,2,0,0
2012,1,11,3,0,8564.8
2012,1,11,4,0,22544.66
2012,1,11,5,0,39748.5
2012,1,11,6,0,64819.1
2012,1,11,7,0,55697.1
2012,1,11,8,0,62241.1
2012,1,11,9,0,77176.9
2012,1,11,10,0,91120.4
2012,1,11,11,0,96405.6
2012,1,11,12,0,96382.4
2012,1,11,13,0,100127.1
2012,1,11,14,0,98019.5
2012,1,11,15,0,79005.4
2012,1,11,16,0,47327.2
2012,1,11,17,0,61770.9
2012,1,11,18,0,98395.8
2012,1,11,19,0,69849.5
2012,1,11,20,0,44458.3
2012,1,11,21,0,34740.4
2012,1,11,22,0,41852.7
2012,1,11,23,0,90625.2
2012,1,12,0,0,114390.7
2012,1,12,1,0,104711.2
2012,1,12,2,0,50679.3
2012,1,12,3,0,79205.6
2012,1,12,4,0,52694.2
2012,1,12,5,0,41689.14
