325158,city??,CA,country??,2012,32.7200508118,-116.26385498,Not Available,1,8760
WIND Toolkit data from NREL downloaded on 2022-10-10,,,,,,,,,
Temperature,Pressure,Speed,Direction,,,,,,
C,atm,m/s,Degrees,,,,,,
120,120,120,120,,,,,,
14.5,0.87,8.300,39.1,,,,,,
14.7,0.87,8.700,36.6,,,,,,
14.5,0.87,8.850,36.6,,,,,,
14.4,0.87,8.150,38.0,,,,,,
14.4,0.87,7.840,44.7,,,,,,
14.4,0.87,7.930,41.2,,,,,,
14.3,0.87,8.280,38.9,,,,,,
14.2,0.87,8.270,43.6,,,,,,
14.3,0.87,7.810,40.6,,,,,,
14.3,0.87,8.010,36.0,,,,,,
14.5,0.87,7.450,31.8,,,,,,
14.8,0.87,7.390,36.5,,,,,,
15.2,0.87,6.950,39.6,,,,,,
15.4,0.87,7.060,41.0,,,,,,
15.6,0.87,6.850,37.8,,,,,,
15.7,0.87,7.320,33.8,,,,,,
15.8,0.87,7.590,34.6,,,,,,
16.1,0.87,8.550,32.7,,,,,,
15.9,0.87,8.840,28.2,,,,,,
15.9,0.87,8.660,32.6,,,,,,
15.8,0.87,8.270,37.2,,,,,,
15.8,0.87,8.000,37.4,,,,,,
15.9,0.87,7.880,34.3,,,,,,
15.9,0.87,8.170,33.7,,,,,,
15.7,0.87,7.660,37.1,,,,,,
15.5,0.87,7.680,40.5,,,,,,
15.3,0.87,7.690,44.9,,,,,,
15.3,0.87,8.060,38.0,,,,,,
15.1,0.87,8.090,37.4,,,,,,
14.9,0.87,8.140,37.2,,,,,,
14.7,0.87,8.160,39.1,,,,,,
14.6,0.87,8.060,39.7,,,,,,
14.6,0.87,8.070,39.1,,,,,,
14.6,0.87,8.110,38.0,,,,,,
14.8,0.87,7.450,38.0,,,,,,
15.1,0.87,7.300,36.0,,,,,,
15.2,0.87,7.240,35.7,,,,,,
15.4,0.87,6.970,35.8,,,,,,
15.5,0.87,6.480,37.2,,,,,,
15.5,0.87,6.220,35.0,,,,,,
15.8,0.87,6.560,39.9,,,,,,
15.9,0.87,6.700,40.7,,,,,,
16.1,0.87,6.610,41.6,,,,,,
16.3,0.87,6.220,45.7,,,,,,
16.5,0.87,5.800,46.0,,,,,,
16.6,0.87,5.400,46.2,,,,,,
17.1,0.87,4.490,49.6,,,,,,
17.3,0.87,4.200,54.1,,,,,,
17.5,0.87,3.470,60.5,,,,,,
17.4,0.87,3.410,58.9,,,,,,
17.5,0.87,3.370,61.2,,,,,,
17.4,0.87,3.590,56.5,,,,,,
17.2,0.87,4.180,49.1,,,,,,
17.2,0.87,4.610,44.4,,,,,,
16.9,0.87,5.300,46.1,,,,,,
17.3,0.87,4.770,49.8,,,,,,
17.1,0.87,5.110,55.0,,,,,,
17.0,0.87,4.850,54.6,,,,,,
17.6,0.87,4.190,60.6,,,,,,
16.6,0.87,5.250,39.0,,,,,,
16.7,0.87,5.600,38.9,,,,,,
17.0,0.87,5.470,40.0,,,,,,
17.3,0.87,5.140,44.3,,,,,,
17.8,0.87,4.780,47.4,,,,,,
18.1,0.87,4.310,48.1,,,,,,
17.9,0.87,4.800,43.8,,,,,,
17.4,0.87,5.240,41.0,,,,,,
16.8,0.87,6.110,31.9,,,,,,
16.7,0.87,5.690,30.5,,,,,,
17.1,0.87,5.470,32.8,,,,,,
17.4,0.87,5.900,33.1,,,,,,
17.2,0.87,6.270,37.7,,,,,,
17.3,0.87,5.710,40.4,,,,,,
17.2,0.87,5.750,42.6,,,,,,
16.9,0.87,5.880,36.6,,,,,,
16.7,0.87,6.420,35.3,,,,,,
16.3,0.87,6.870,37.4,,,,,,
15.8,0.87,6.830,36.4,,,,,,
16.0,0.87,7.010,37.7,,,,,,
16.0,0.87,7.280,39.5,,,,,,
15.6,0.87,8.300,38.8,,,,,,
15.3,0.87,8.160,35.5,,,,,,
15.4,0.87,8.620,36.4,,,,,,
15.8,0.87,7.860,31.1,,,,,,
15.8,0.87,7.740,35.8,,,,,,
15.8,0.87,7.530,39.3,,,,,,
15.9,0.87,7.750,36.4,,,,,,
15.9,0.87,7.620,38.0,,,,,,
16.1,0.87,7.790,38.2,,,,,,
16.2,0.87,7.180,39.0,,,,,,
16.2,0.87,7.090,37.5,,,,,,
16.2,0.87,7.100,40.5,,,,,,
16.1,0.87,6.530,46.7,,,,,,
16.2,0.87,6.080,51.2,,,,,,
16.3,0.87,6.000,52.5,,,,,,
16.3,0.87,5.740,53.0,,,,,,
16.2,0.87,5.610,53.7,,,,,,
16.3,0.87,5.960,54.1,,,,,,
16.1,0.87,5.610,53.2,,,,,,
15.9,0.87,5.210,58.3,,,,,,
15.6,0.87,5.490,62.5,,,,,,
15.2,0.87,5.770,57.6,,,,,,
15.1,0.87,5.580,56.0,,,,,,
15.0,0.87,5.330,55.9,,,,,,
15.1,0.87,5.160,56.5,,,,,,
15.2,0.87,4.840,52.4,,,,,,
15.2,0.87,4.580,50.2,,,,,,
15.5,0.87,4.110,50.1,,,,,,
15.8,0.87,3.960,55.0,,,,,,
15.8,0.87,4.600,54.0,,,,,,
15.6,0.87,4.730,53.4,,,,,,
15.7,0.87,4.440,52.4,,,,,,
16.0,0.87,4.400,51.4,,,,,,
16.1,0.87,4.300,53.2,,,,,,
15.9,0.87,3.900,56.1,,,,,,
